구,연도,항목,예측값,모델
강서구,2024,횡단중_부상자수,56.97112488094717,다항회귀
관악구,2024,횡단중_부상자수,12.878421053290367,다항회귀
광진구,2024,횡단중_부상자수,33.13671335950494,다항회귀
구로구,2024,횡단중_부상자수,93.75853270106018,다항회귀
금천구,2024,횡단중_부상자수,45.29089330136776,다항회귀
노원구,2024,횡단중_부상자수,181.14751744270325,다항회귀
도봉구,2024,횡단중_부상자수,61.84011306986213,다항회귀
동대문구,2024,횡단중_부상자수,0.0,다항회귀
동작구,2024,횡단중_부상자수,72.75750263524242,다항회귀
마포구,2024,횡단중_부상자수,65.88197770435363,다항회귀
서대문구,2024,횡단중_부상자수,99.05913551431149,다항회귀
서초구,2024,횡단중_부상자수,66.79544605733827,다항회귀
성동구,2024,횡단중_부상자수,56.086151622235775,다항회귀
성북구,2024,횡단중_부상자수,114.88167784363031,다항회귀
송파구,2024,횡단중_부상자수,89.62756838835776,다항회귀
양천구,2024,횡단중_부상자수,67.87623450905085,다항회귀
영등포구,2024,횡단중_부상자수,71.30927263572812,다항회귀
용산구,2024,횡단중_부상자수,0.0,다항회귀
은평구,2024,횡단중_부상자수,20.38389922399074,다항회귀
종로구,2024,횡단중_부상자수,61.12414764612913,다항회귀
중구,2024,횡단중_부상자수,76.66297382646007,다항회귀
중랑구,2024,횡단중_부상자수,61.210155084729195,다항회귀
강남구,2024,횡단중_사망자수,0.0,다항회귀
강동구,2024,횡단중_사망자수,0.0,다항회귀
강북구,2024,횡단중_사망자수,3.6931401768233627,다항회귀
강서구,2024,횡단중_사망자수,0.5310403820185456,다항회귀
관악구,2024,횡단중_사망자수,0.0,다항회귀
광진구,2024,횡단중_사망자수,0.0,다항회귀
구로구,2024,횡단중_사망자수,0.0,다항회귀
금천구,2024,횡단중_사망자수,1.8231503630522639,다항회귀
노원구,2024,횡단중_사망자수,3.8082409001362976,다항회귀
도봉구,2024,횡단중_사망자수,5.389785569917876,다항회귀
동대문구,2024,횡단중_사망자수,26.703017544932663,다항회귀
동작구,2024,횡단중_사망자수,1.8386043781065382,다항회귀
마포구,2024,횡단중_사망자수,3.3172365000937134,다항회귀
서대문구,2024,횡단중_사망자수,0.24654561304487288,다항회귀
서초구,2024,횡단중_사망자수,2.65913809047197,다항회귀
성동구,2024,횡단중_사망자수,0.0,다항회귀
성북구,2024,횡단중_사망자수,0.1638006919529289,다항회귀
송파구,2024,횡단중_사망자수,0.0,다항회귀
양천구,2024,횡단중_사망자수,1.426590945571661,다항회귀
영등포구,2024,횡단중_사망자수,0.0,다항회귀
용산구,2024,횡단중_사망자수,0.0,다항회귀
