district,year,metric,value
강동구,2012,인구 10만명당 사망자수 (명),3.7
강동구,2012,자동차 1만대당 발생건수 (건),92.8
강동구,2013,발생건수 (건),1356.0
강동구,2013,부상자수 (명),1942.0
강동구,2013,사망자수 (명),12.0
강동구,2013,인구 10만명당 부상자수 (명),398.0
강동구,2013,인구 10만명당 사망자수 (명),2.5
강동구,2013,자동차 1만대당 발생건수 (건),86.3
강동구,2014,발생건수 (건),1442.0
강동구,2014,부상자수 (명),2014.0
강동구,2014,사망자수 (명),14.0
강동구,2014,인구 10만명당 부상자수 (명),418.4
강동구,2014,인구 10만명당 사망자수 (명),2.9
강동구,2014,자동차 1만대당 발생건수 (건),91.6
강동구,2015,발생건수 (건),1494.0
강동구,2015,부상자수 (명),2129.0
강동구,2015,사망자수 (명),23.0
강동구,2015,인구 10만명당 부상자수 (명),459.5
강동구,2015,인구 10만명당 사망자수 (명),5.0
강동구,2015,자동차 1만대당 발생건수 (건),96.6
강동구,2016,발생건수 (건),1426.0
강동구,2016,부상자수 (명),1957.0
강동구,2016,사망자수 (명),17.0
강동구,2016,인구 10만명당 부상자수 (명),436.4
강동구,2016,인구 10만명당 사망자수 (명),3.8
강동구,2016,자동차 1만대당 발생건수 (건),93.3
강동구,2017,발생건수 (건),1371.0
강동구,2017,부상자수 (명),1873.0
강동구,2017,사망자수 (명),19.0
강동구,2017,인구 10만명당 부상자수 (명),425.3
강동구,2017,인구 10만명당 사망자수 (명),4.3
강동구,2017,자동차 1만대당 발생건수 (건),89.6
강동구,2018,발생건수 (건),1418.0
강동구,2018,부상자수 (명),1922.0
강동구,2018,사망자수 (명),12.0
강동구,2018,인구 10만명당 부상자수 (명),445.0
강동구,2018,인구 10만명당 사망자수 (명),2.8
강동구,2018,자동차 1만대당 발생건수 (건),93.5
강동구,2019,발생건수 (건),1414.0
강동구,2019,부상자수 (명),1910.0
강동구,2019,사망자수 (명),11.0
강동구,2019,인구 10만명당 부상자수 (명),433.7
강동구,2019,인구 10만명당 사망자수 (명),2.5
강동구,2019,자동차 1만대당 발생건수 (건),90.5
강동구,2020,발생건수 (건),1268.0
강동구,2020,부상자수 (명),1600.0
강동구,2020,사망자수 (명),7.0
강동구,2020,인구 10만명당 부상자수 (명),344.8
강동구,2020,인구 10만명당 사망자수 (명),1.5
강동구,2020,자동차 1만대당 발생건수 (건),75.9
강동구,2021,발생건수 (건),1047.0
강동구,2021,부상자수 (명),1413.0
강동구,2021,사망자수 (명),9.0
강동구,2021,인구 10만명당 부상자수 (명),302.9
강동구,2021,인구 10만명당 사망자수 (명),1.9
강동구,2021,자동차 1만대당 발생건수 (건),61.7
강동구,2022,발생건수 (건),1151.0
강동구,2022,부상자수 (명),1553.0
강동구,2022,사망자수 (명),7.0
강동구,2022,인구 10만명당 부상자수 (명),334.7
강동구,2022,인구 10만명당 사망자수 (명),1.5
강동구,2022,자동차 1만대당 발생건수 (건),67.5
강동구,2023,발생건수 (건),1185.0
강동구,2023,부상자수 (명),1522.0
강동구,2023,사망자수 (명),4.0
강동구,2023,인구 10만명당 부상자수 (명),328.5
강동구,2023,인구 10만명당 사망자수 (명),0.9
강동구,2023,자동차 1만대당 발생건수 (건),69.1
강북구,2005,발생건수 (건),1136.0
강북구,2005,부상자수 (명),1606.0
강북구,2005,사망자수 (명),18.0
강북구,2005,인구 10만명당 부상자수 (명),452.0
강북구,2005,인구 10만명당 사망자수 (명),5.1
강북구,2005,자동차 1만대당 발생건수 (건),124.4
강북구,2006,발생건수 (건),1258.0
강북구,2006,부상자수 (명),1777.0
강북구,2006,사망자수 (명),7.0
강북구,2006,인구 10만명당 부상자수 (명),505.4
강북구,2006,인구 10만명당 사망자수 (명),2.0
강북구,2006,자동차 1만대당 발생건수 (건),137.4
강북구,2007,발생건수 (건),1263.0
강북구,2007,부상자수 (명),1792.0
강북구,2007,사망자수 (명),11.0
강북구,2007,인구 10만명당 부상자수 (명),513.9
강북구,2007,인구 10만명당 사망자수 (명),3.2
강북구,2007,자동차 1만대당 발생건수 (건),137.8
강북구,2008,발생건수 (건),1373.0
강북구,2008,부상자수 (명),1887.0
강북구,2008,사망자수 (명),12.0
강북구,2008,인구 10만명당 부상자수 (명),545.8
강북구,2008,인구 10만명당 사망자수 (명),3.5
강북구,2008,자동차 1만대당 발생건수 (건),149.6
강북구,2009,발생건수 (건),1392.0
강북구,2009,부상자수 (명),1949.0
강북구,2009,사망자수 (명),20.0
강북구,2009,인구 10만명당 부상자수 (명),566.7
