자치구,연도,거주인구,버스승객수,지하철_승객_수,승객수,발생건수,부상자수
노원구,2016,575074.25,0.0,0.0,0.0,0.0,0.0
노원구,2017,564037.0,5194568.42,4702504.5,9980427.5,124.92,171.25
노원구,2018,552052.25,5687415.17,5293017.83,11147841.58,130.75,185.58
노원구,2019,541305.25,5669494.0,5452366.75,11284739.58,141.92,191.83
노원구,2020,531275.0,4950577.0,4806375.58,9811887.33,121.83,168.0
노원구,2021,518553.5,4969799.42,5012000.08,10005782.58,117.75,161.67
노원구,2022,511076.75,4212924.92,4755019.08,8939224.67,115.33,159.42
노원구,2023,504744.5,4310483.83,5112317.08,9342091.17,113.83,155.75
도봉구,2005,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,2006,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,2007,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,2008,377690.5,0.0,0.0,0.0,0.0,0.0
도봉구,2009,374342.25,0.0,0.0,0.0,0.0,0.0
도봉구,2010,369781.0,0.0,0.0,0.0,0.0,0.0
도봉구,2011,369162.0,0.0,0.0,0.0,0.0,0.0
도봉구,2012,365638.5,0.0,0.0,0.0,0.0,0.0
도봉구,2013,362265.5,0.0,0.0,0.0,0.0,0.0
도봉구,2014,357832.75,0.0,0.0,0.0,0.0,0.0
도봉구,2015,354558.25,0.0,0.0,0.0,0.0,0.0
도봉구,2016,351552.5,0.0,0.0,0.0,0.0,0.0
도봉구,2017,347539.75,4519693.92,4022536.08,8651637.25,78.75,102.5
도봉구,2018,343444.0,4758621.17,3652364.0,8602246.08,68.67,88.42
도봉구,2019,338078.75,4578508.58,3924956.75,8679975.92,71.0,96.92
도봉구,2020,330475.0,4041428.42,3520657.25,7635741.0,61.75,82.5
도봉구,2021,321563.75,3923171.83,3324366.25,7287735.08,49.25,64.0
도봉구,2022,315972.25,3242109.33,2241622.08,5470516.08,43.5,58.75
도봉구,2023,310967.75,3315277.58,2360182.33,5627539.92,44.17,57.08
동대문구,2005,0.0,0.0,0.0,0.0,0.0,0.0
동대문구,2006,0.0,0.0,0.0,0.0,0.0,0.0
동대문구,2007,0.0,0.0,0.0,0.0,0.0,0.0
동대문구,2008,384516.5,0.0,0.0,0.0,0.0,0.0
동대문구,2009,378336.5,0.0,0.0,0.0,0.0,0.0
동대문구,2010,374993.75,0.0,0.0,0.0,0.0,0.0
동대문구,2011,379792.75,0.0,0.0,0.0,0.0,0.0
동대문구,2012,377501.25,0.0,0.0,0.0,0.0,0.0
동대문구,2013,376489.75,0.0,0.0,0.0,0.0,0.0
동대문구,2014,375481.0,0.0,0.0,0.0,0.0,0.0
동대문구,2015,375057.5,0.0,0.0,0.0,0.0,0.0
동대문구,2016,371859.0,0.0,0.0,0.0,0.0,0.0
동대문구,2017,367831.5,5560479.42,6026839.33,11716923.5,142.08,175.0
동대문구,2018,364982.0,5948053.92,6266279.42,12425168.42,141.58,180.0
동대문구,2019,363291.25,5552077.17,5790337.42,11536504.17,130.42,165.67
동대문구,2020,359716.5,5001852.25,5453380.58,10544116.42,120.67,153.75
동대문구,2021,352115.25,5016961.92,5289006.83,10366981.0,115.83,138.0
동대문구,2022,353029.25,5273149.75,2896944.42,8153401.33,127.83,153.58
동대문구,2023,357384.25,5619867.83,3151901.08,8697755.08,139.5,169.92
동작구,2005,0.0,0.0,0.0,0.0,0.0,0.0
동작구,2006,0.0,0.0,0.0,0.0,0.0,0.0
동작구,2007,0.0,0.0,0.0,0.0,0.0,0.0
동작구,2008,413675.0,0.0,0.0,0.0,0.0,0.0
동작구,2009,410426.5,0.0,0.0,0.0,0.0,0.0
동작구,2010,409653.5,0.0,0.0,0.0,0.0,0.0
동작구,2011,414252.0,0.0,0.0,0.0,0.0,0.0
동작구,2012,414560.0,0.0,0.0,0.0,0.0,0.0
동작구,2013,420739.0,0.0,0.0,0.0,0.0,0.0
동작구,2014,421197.25,0.0,0.0,0.0,0.0,0.0
동작구,2015,416588.0,0.0,0.0,0.0,0.0,0.0
동작구,2016,413689.75,0.0,0.0,0.0,0.0,0.0
동작구,2017,410733.25,5111366.58,5755597.5,10968880.25,117.42,170.25
동작구,2018,407825.0,5532800.5,5352359.75,11077636.83,117.67,157.67
동작구,2019,410857.5,5296727.33,5671772.17,11141107.33,117.17,168.42
동작구,2020,405191.75,4779696.67,5159150.75,10010400.58,108.92,151.58
동작구,2021,396480.5,4655433.33,4734707.92,9430650.0,95.67,126.67
동작구,2022,393184.75,5212003.83,4278437.08,9464902.17,101.42,137.58
동작구,2023,390418.5,5203751.67,4647516.17,9768869.17,103.5,139.0
마포구,2005,0.0,0.0,0.0,0.0,0.0,0.0
마포구,2006,0.0,0.0,0.0,0.0,0.0,0.0
마포구,2007,0.0,0.0,0.0,0.0,0.0,0.0
마포구,2008,397842.0,0.0,0.0,0.0,0.0,0.0
마포구,2009,393586.5,0.0,0.0,0.0,0.0,0.0
마포구,2010,394312.0,0.0,0.0,0.0,0.0,0.0
마포구,2011,400863.25,0.0,0.0,0.0,0.0,0.0
마포구,2012,395821.0,0.0,0.0,0.0,0.0,0.0
마포구,2013,392671.25,0.0,0.0,0.0,0.0,0.0
마포구,2014,391952.75,0.0,0.0,0.0,0.0,0.0
마포구,2015,399490.75,0.0,0.0,0.0,0.0,0.0
마포구,2016,394478.75,0.0,0.0,0.0,0.0,0.0
마포구,2017,387945.5,5693309.58,7773659.5,13577214.75,153.42,229.33
마포구,2018,385630.5,5873617.58,6957752.17,13025662.0,139.25,202.42
마포구,2019,386021.5,5425920.58,6090613.67,11695874.0,124.5,176.92
