구,연월,거주인구
은평구,2009-10,470782.0
서대문구,2009-10,336649.0
마포구,2009-10,392313.0
양천구,2009-10,506684.0
강서구,2009-10,579196.0
구로구,2009-10,449613.0
금천구,2009-10,263116.0
영등포구,2009-10,441747.0
동작구,2009-10,407973.0
관악구,2009-10,547311.0
서초구,2009-10,431131.0
강남구,2009-10,569499.0
송파구,2009-10,689296.0
강동구,2009-10,489655.0
종로구,2009-11,177543.0
중구,2009-11,137861.0
용산구,2009-11,251200.0
성동구,2009-11,316064.0
광진구,2009-11,386513.0
동대문구,2009-11,374277.0
중랑구,2009-11,429700.0
성북구,2009-11,484457.0
강북구,2009-11,343912.0
도봉구,2009-11,372398.0
노원구,2009-11,615161.0
은평구,2009-11,470782.0
서대문구,2009-11,336649.0
마포구,2009-11,392313.0
양천구,2009-11,506684.0
강서구,2009-11,579196.0
구로구,2009-11,449613.0
금천구,2009-11,263116.0
영등포구,2009-11,441747.0
동작구,2009-11,407973.0
관악구,2009-11,547311.0
서초구,2009-11,431131.0
강남구,2009-11,569499.0
송파구,2009-11,689296.0
강동구,2009-11,489655.0
종로구,2009-12,177543.0
중구,2009-12,137861.0
용산구,2009-12,251200.0
성동구,2009-12,316064.0
광진구,2009-12,386513.0
동대문구,2009-12,374277.0
중랑구,2009-12,429700.0
성북구,2009-12,484457.0
강북구,2009-12,343912.0
도봉구,2009-12,372398.0
노원구,2009-12,615161.0
은평구,2009-12,470782.0
서대문구,2009-12,336649.0
마포구,2009-12,392313.0
양천구,2009-12,506684.0
강서구,2009-12,579196.0
구로구,2009-12,449613.0
금천구,2009-12,263116.0
영등포구,2009-12,441747.0
동작구,2009-12,407973.0
관악구,2009-12,547311.0
서초구,2009-12,431131.0
강남구,2009-12,569499.0
송파구,2009-12,689296.0
강동구,2009-12,489655.0
종로구,2010-01,177023.0
중구,2010-01,138102.0
용산구,2010-01,250844.0
성동구,2010-01,316113.0
광진구,2010-01,386292.0
동대문구,2010-01,374039.0
중랑구,2010-01,431283.0
성북구,2010-01,484359.0
강북구,2010-01,342669.0
도봉구,2010-01,371095.0
노원구,2010-01,614603.0
은평구,2010-01,474165.0
서대문구,2010-01,336490.0
마포구,2010-01,392087.0
양천구,2010-01,504928.0
강서구,2010-01,578257.0
구로구,2010-01,449187.0
금천구,2010-01,262337.0
영등포구,2010-01,440863.0
동작구,2010-01,407966.0
관악구,2010-01,546814.0
서초구,2010-01,432888.0
강남구,2010-01,570913.0
송파구,2010-01,689909.0
강동구,2010-01,490945.0
종로구,2010-02,177023.0
중구,2010-02,138102.0
용산구,2010-02,250844.0
성동구,2010-02,316113.0
광진구,2010-02,386292.0
동대문구,2010-02,374039.0
중랑구,2010-02,431283.0
성북구,2010-02,484359.0
강북구,2010-02,342669.0
도봉구,2010-02,371095.0
노원구,2010-02,614603.0
은평구,2010-02,474165.0
서대문구,2010-02,336490.0
마포구,2010-02,392087.0
양천구,2010-02,504928.0
강서구,2010-02,578257.0
구로구,2010-02,449187.0
금천구,2010-02,262337.0
영등포구,2010-02,440863.0
동작구,2010-02,407966.0
관악구,2010-02,546814.0
서초구,2010-02,432888.0
