district,metric,year,weather,count
종로구,사망자 (명),2021,맑음,3
종로구,사망자 (명),2021,비,2
종로구,사망자 (명),2021,안개,-
종로구,사망자 (명),2021,흐림,1
종로구,사망자 (명),2022,눈,-
종로구,사망자 (명),2022,맑음,3
종로구,사망자 (명),2022,비,-
종로구,사망자 (명),2022,안개,-
종로구,사망자 (명),2022,흐림,-
종로구,사망자 (명),2023,눈,-
종로구,사망자 (명),2023,맑음,7
종로구,사망자 (명),2023,비,-
종로구,사망자 (명),2023,안개,-
종로구,사망자 (명),2023,흐림,1
종로구,부상자 (명),2013,눈,4
종로구,부상자 (명),2013,맑음,1493
종로구,부상자 (명),2013,비,161
종로구,부상자 (명),2013,안개,3
종로구,부상자 (명),2013,흐림,108
종로구,부상자 (명),2014,눈,20
종로구,부상자 (명),2014,맑음,1576
종로구,부상자 (명),2014,비,134
종로구,부상자 (명),2014,안개,-
종로구,부상자 (명),2014,흐림,58
종로구,부상자 (명),2015,눈,3
종로구,부상자 (명),2015,맑음,1677
종로구,부상자 (명),2015,비,180
종로구,부상자 (명),2015,안개,-
종로구,부상자 (명),2015,흐림,73
종로구,부상자 (명),2016,눈,3
종로구,부상자 (명),2016,맑음,1539
종로구,부상자 (명),2016,비,120
종로구,부상자 (명),2016,안개,1
종로구,부상자 (명),2016,흐림,85
종로구,부상자 (명),2017,눈,10
종로구,부상자 (명),2017,맑음,1535
종로구,부상자 (명),2017,비,80
종로구,부상자 (명),2017,안개,-
종로구,부상자 (명),2017,흐림,64
종로구,부상자 (명),2018,눈,10
종로구,부상자 (명),2018,맑음,1385
종로구,부상자 (명),2018,비,105
종로구,부상자 (명),2018,안개,-
종로구,부상자 (명),2018,흐림,46
종로구,부상자 (명),2019,눈,-
종로구,부상자 (명),2019,맑음,1448
종로구,부상자 (명),2019,비,69
종로구,부상자 (명),2019,안개,-
종로구,부상자 (명),2019,흐림,41
종로구,부상자 (명),2020,눈,3
종로구,부상자 (명),2020,맑음,1087
종로구,부상자 (명),2020,비,88
