구,연월,발생건수,부상자수,사망자수
강동구,2009-01-01,120,169,4
강동구,2009-02-01,118,157,0
강동구,2009-03-01,149,202,1
강동구,2009-04-01,120,170,2
강동구,2009-05-01,137,181,3
강동구,2009-06-01,107,152,3
강동구,2009-07-01,147,201,3
강동구,2009-08-01,116,155,2
강동구,2009-09-01,131,168,3
강동구,2009-10-01,148,223,0
강동구,2009-11-01,125,179,0
강동구,2009-12-01,127,173,1
강동구,2010-01-01,114,174,1
강동구,2010-02-01,97,148,0
강동구,2010-03-01,113,155,0
강동구,2010-04-01,111,161,2
강동구,2010-05-01,149,204,1
강동구,2010-06-01,110,153,0
강동구,2010-07-01,126,170,3
강동구,2010-08-01,121,159,1
강동구,2010-09-01,114,142,1
강동구,2010-10-01,138,181,3
강동구,2010-11-01,113,152,2
강동구,2010-12-01,104,146,0
강동구,2011-01-01,114,154,1
강동구,2011-02-01,80,115,0
강동구,2011-03-01,106,147,2
강동구,2011-04-01,113,157,1
강동구,2011-05-01,128,200,0
강동구,2011-06-01,109,174,2
강동구,2011-07-01,126,176,2
강동구,2011-08-01,120,168,3
강동구,2011-09-01,137,214,1
강동구,2011-10-01,149,214,1
강동구,2011-11-01,126,186,0
강동구,2011-12-01,115,175,0
강동구,2012-01-01,94,124,1
강동구,2012-02-01,113,159,2
강동구,2012-03-01,114,157,0
강동구,2012-04-01,122,174,1
강동구,2012-05-01,113,165,2
강동구,2012-06-01,134,170,2
강동구,2012-07-01,120,170,3
강동구,2012-08-01,127,193,3
강동구,2012-09-01,133,186,1
강동구,2012-10-01,128,156,1
강동구,2012-11-01,138,204,1
강동구,2012-12-01,122,171,1
강동구,2013-01-01,104,156,2
강동구,2013-02-01,101,172,1
강동구,2013-03-01,116,148,2
강동구,2013-04-01,103,129,0
강동구,2013-05-01,130,192,1
강동구,2013-06-01,142,198,2
강동구,2013-07-01,111,151,2
강동구,2013-08-01,107,161,1
강동구,2013-09-01,99,136,0
강동구,2013-10-01,129,188,0
강동구,2013-11-01,118,157,1
강동구,2013-12-01,96,154,0
강동구,2014-01-01,90,163,2
강동구,2014-02-01,101,159,1
강동구,2014-03-01,123,174,1
강동구,2014-04-01,108,167,1
강동구,2014-05-01,116,152,0
강동구,2014-06-01,129,159,1
강동구,2014-07-01,150,196,1
강동구,2014-08-01,136,177,1
강동구,2014-09-01,115,157,3
강동구,2014-10-01,123,152,1
강동구,2014-11-01,153,210,1
강동구,2014-12-01,98,148,1
강동구,2015-01-01,118,167,2
강동구,2015-02-01,97,152,0
강동구,2015-03-01,132,193,2
강동구,2015-04-01,125,171,3
강동구,2015-05-01,122,194,2
강동구,2015-06-01,109,130,1
강동구,2015-07-01,135,176,3
강동구,2015-08-01,136,206,2
강동구,2015-09-01,139,195,1
강동구,2015-10-01,140,220,2
강동구,2015-11-01,125,166,3
강동구,2015-12-01,116,159,2
강동구,2016-01-01,103,147,1
강동구,2016-02-01,124,162,2
강동구,2016-03-01,118,177,2
강동구,2016-04-01,135,193,0
강동구,2016-05-01,124,161,2
강동구,2016-06-01,114,150,0
강동구,2016-07-01,134,175,4
강동구,2016-08-01,123,159,0
강동구,2016-09-01,108,156,2
강동구,2016-10-01,110,149,1
강동구,2016-11-01,119,166,1
강동구,2016-12-01,114,162,2
강동구,2017-01-01,105,138,0
강동구,2017-02-01,117,190,1
강동구,2017-03-01,115,149,4
강동구,2017-04-01,98,136,3
강동구,2017-05-01,125,176,2
강동구,2017-06-01,134,195,2
강동구,2017-07-01,90,125,2
강동구,2017-08-01,117,151,2
강동구,2017-09-01,131,172,1
강동구,2017-10-01,143,178,0
강동구,2017-11-01,94,124,0
강동구,2017-12-01,102,139,2
강동구,2018-01-01,85,101,1
강동구,2018-02-01,100,136,1
강동구,2018-03-01,118,157,2
