연월,구,대중교통_승객_수
2022-03-01,서대문구,7327665
2022-03-01,서초구,13931122
2022-03-01,성동구,7236334
2022-03-01,성북구,8896935
2022-03-01,송파구,12187522
2022-03-01,양천구,6117671
2022-03-01,영등포구,11408220
2022-03-01,용산구,6234159
2022-03-01,은평구,8260054
2022-03-01,종로구,11474923
2022-03-01,중구,11279742
2022-03-01,중랑구,5861757
2022-04-01,도봉구,5479026
2022-04-01,노원구,9030979
2022-04-01,금천구,5377161
2022-04-01,구로구,9244188
2022-04-01,강남구,21015315
2022-04-01,관악구,14652461
2022-04-01,강서구,10261206
2022-04-01,강북구,7317682
2022-04-01,강동구,6948872
2022-04-01,동대문구,8082498
2022-04-01,광진구,8213264
2022-04-01,동작구,9579828
2022-04-01,영등포구,13473754
2022-04-01,서대문구,8207155
2022-04-01,서초구,16032869
2022-04-01,성동구,8248187
2022-04-01,성북구,9899735
2022-04-01,송파구,14357898
2022-04-01,양천구,6822351
2022-04-01,용산구,7242350
2022-04-01,은평구,9208249
2022-04-01,종로구,13349971
2022-04-01,중구,13258768
2022-04-01,중랑구,6474477
2022-04-01,마포구,12511855
2022-05-01,동대문구,8765638
2022-05-01,도봉구,5908950
2022-05-01,노원구,9852784
2022-05-01,금천구,5765373
2022-05-01,마포구,13915544
2022-05-01,광진구,8985343
2022-05-01,관악구,15854632
2022-05-01,강서구,11095716
2022-05-01,강북구,7911656
2022-05-01,구로구,10008070
2022-05-01,서대문구,9021029
2022-05-01,강동구,7497282
2022-05-01,성동구,8889412
2022-05-01,성북구,10951575
2022-05-01,송파구,15324890
2022-05-01,양천구,7363727
2022-05-01,영등포구,14318753
2022-05-01,용산구,8269099
2022-05-01,은평구,9924164
2022-05-01,종로구,15223540
2022-05-01,중구,14786803
2022-05-01,중랑구,6993111
2022-05-01,서초구,17685571
2022-05-01,강남구,23258137
2022-05-01,동작구,10397250
2022-06-01,광진구,8319258
2022-06-01,강북구,7494368
2022-06-01,강서구,10706539
2022-06-01,관악구,14839124
2022-06-01,구로구,9663911
2022-06-01,금천구,5572281
2022-06-01,노원구,9107431
2022-06-01,도봉구,5606949
2022-06-01,동대문구,8276093
2022-06-01,동작구,9708878
2022-06-01,마포구,13275030
2022-06-01,강동구,7224758
2022-06-01,서대문구,8533841
2022-06-01,성동구,8353638
2022-06-01,성북구,10156415
2022-06-01,송파구,14643575
2022-06-01,양천구,7106583
2022-06-01,영등포구,13638811
2022-06-01,용산구,7836401
2022-06-01,은평구,9466857
2022-06-01,종로구,14203922
2022-06-01,중구,14135215
2022-06-01,중랑구,6612285
2022-06-01,서초구,16796462
2022-06-01,강남구,22688170
2022-07-01,강남구,24219111
2022-07-01,중구,14614528
2022-07-01,강동구,7543397
2022-07-01,강북구,7822801
2022-07-01,강서구,11230072
2022-07-01,관악구,15421580
2022-07-01,광진구,8542028
2022-07-01,구로구,10028770
2022-07-01,중랑구,6857064
2022-07-01,노원구,9363659
2022-07-01,도봉구,5806004
2022-07-01,동대문구,8524150
2022-07-01,동작구,9918775
2022-07-01,금천구,5904264
2022-07-01,서대문구,8894685
2022-07-01,서초구,17678722
2022-07-01,성동구,8656426
2022-07-01,성북구,10302477
2022-07-01,송파구,15337637
2022-07-01,양천구,7437409
2022-07-01,영등포구,14427712
2022-07-01,용산구,8068129
2022-07-01,은평구,9847272
2022-07-01,종로구,14352551
2022-07-01,마포구,14042319
2022-08-01,동대문구,8406032
2022-08-01,도봉구,5641450
2022-08-01,노원구,9040820
2022-08-01,금천구,5818678
2022-08-01,광진구,8355846
2022-08-01,강남구,23648808
2022-08-01,강서구,10978412
2022-08-01,강북구,7599451
2022-08-01,강동구,7355463
2022-08-01,동작구,9674161
2022-08-01,관악구,14977712
2022-08-01,마포구,13663750
2022-08-01,구로구,9812899
2022-08-01,서대문구,8734008
2022-08-01,종로구,14063095
2022-08-01,은평구,9553095
2022-08-01,용산구,7927274
2022-08-01,영등포구,14256460
2022-08-01,양천구,7301241
2022-08-01,중구,14346715
2022-08-01,송파구,14956022
2022-08-01,성북구,10036071
2022-08-01,성동구,8450020
2022-08-01,서초구,17111909
2022-08-01,중랑구,6713153
2022-09-01,동대문구,8198588
2022-09-01,도봉구,5310485
2022-09-01,노원구,8646936
2022-09-01,금천구,5251197
2022-09-01,구로구,8983388
2022-09-01,관악구,13967042
2022-09-01,강서구,9890330
2022-09-01,강북구,7222063
2022-09-01,강동구,6656155
2022-09-01,동작구,9330165
2022-09-01,광진구,7919287
2022-09-01,마포구,12639741
2022-09-01,강남구,20434624
2022-09-01,서초구,15462276
2022-09-01,중랑구,6307392
2022-09-01,중구,13303482
2022-09-01,종로구,13457837
2022-09-01,은평구,8922956
2022-09-01,용산구,7535889
2022-09-01,서대문구,8471230
2022-09-01,양천구,6665766
2022-09-01,송파구,13665163
2022-09-01,성북구,10090491
2022-09-01,성동구,7779610
2022-09-01,영등포구,12801669
2022-10-01,동대문구,9017981
2022-10-01,도봉구,5908191
2022-10-01,노원구,9745992
2022-10-01,금천구,5821997
2022-10-01,구로구,10146980
2022-10-01,관악구,15728753
2022-10-01,강서구,11234160
2022-10-01,강북구,7970667
2022-10-01,강동구,7629794
2022-10-01,동작구,10358660
2022-10-01,광진구,8977271
2022-10-01,강남구,23707237
2022-10-01,마포구,14568642
2022-10-01,서초구,17553380
2022-10-01,서대문구,9387095
2022-10-01,중랑구,7033862
2022-10-01,중구,16087901
2022-10-01,은평구,9999446
2022-10-01,용산구,8688470
2022-10-01,종로구,15795816
2022-10-01,양천구,7443822
2022-10-01,송파구,15870884
2022-10-01,성북구,11132147
2022-10-01,성동구,8940709
2022-10-01,영등포구,14489276
2022-11-01,금천구,5766801
2022-11-01,동대문구,8834268
2022-11-01,도봉구,5747410
2022-11-01,노원구,9561018
2022-11-01,구로구,10053092
2022-11-01,동작구,10177604
2022-11-01,관악구,15353635
2022-11-01,강서구,11011512
2022-11-01,강북구,7709174
2022-11-01,강동구,7451786
2022-11-01,광진구,8697671
2022-11-01,마포구,14050744
2022-11-01,강남구,23666578
2022-11-01,서초구,17350042
2022-11-01,중랑구,6878980
2022-11-01,중구,15766576
2022-11-01,종로구,15174728
2022-11-01,은평구,9707012
2022-11-01,용산구,7982766
2022-11-01,서대문구,9266041
2022-11-01,양천구,7299682
2022-11-01,송파구,15174258
2022-11-01,성북구,10949491
2022-11-01,성동구,8827651
2022-11-01,영등포구,14489371
2022-12-01,동대문구,8698448
2022-12-01,도봉구,5752423
2022-12-01,노원구,9458916
2022-12-01,금천구,5651029
2022-12-01,구로구,9994000
2022-12-01,관악구,15384711
2022-12-01,강서구,11063494
2022-12-01,강북구,7767623
2022-12-01,강동구,7488600
2022-12-01,동작구,9881114
