district,year,weather,발생건수,사상자수
광진구,2018,흐림,33.0,50.0
광진구,2019,눈,1.0,1.0
광진구,2019,맑음,896.0,1225.0
광진구,2019,비,49.0,60.0
광진구,2019,흐림,27.0,33.0
광진구,2020,눈,0.0,0.0
광진구,2020,맑음,795.0,1041.0
광진구,2020,비,49.0,69.0
광진구,2020,흐림,25.0,39.0
광진구,2021,눈,1.0,1.0
광진구,2021,맑음,837.0,1095.0
광진구,2021,비,54.0,78.0
광진구,2021,흐림,16.0,22.0
광진구,2022,눈,3.0,3.0
광진구,2022,맑음,657.0,896.0
광진구,2022,비,20.0,32.0
광진구,2022,흐림,25.0,40.0
광진구,2023,눈,3.0,4.0
광진구,2023,맑음,622.0,788.0
광진구,2023,비,39.0,41.0
광진구,2023,흐림,43.0,56.0
구로구,2013,눈,10.0,13.0
구로구,2013,맑음,1240.0,1894.0
구로구,2013,비,102.0,175.0
구로구,2013,흐림,61.0,99.0
구로구,2014,눈,11.0,13.0
구로구,2014,맑음,1388.0,1945.0
구로구,2014,비,115.0,194.0
구로구,2014,흐림,51.0,71.0
구로구,2015,눈,4.0,6.0
구로구,2015,맑음,1297.0,1846.0
구로구,2015,비,152.0,213.0
구로구,2015,흐림,54.0,80.0
구로구,2016,눈,7.0,7.0
구로구,2016,맑음,1355.0,1931.0
구로구,2016,비,101.0,133.0
구로구,2016,흐림,46.0,75.0
구로구,2017,눈,11.0,12.0
구로구,2017,맑음,1301.0,1772.0
구로구,2017,비,70.0,110.0
구로구,2017,흐림,42.0,64.0
구로구,2018,눈,4.0,7.0
구로구,2018,맑음,1375.0,1929.0
구로구,2018,비,108.0,140.0
구로구,2018,흐림,34.0,50.0
구로구,2019,눈,1.0,1.0
구로구,2019,맑음,1353.0,1849.0
구로구,2019,비,92.0,145.0
구로구,2019,흐림,32.0,44.0
구로구,2020,눈,1.0,1.0
구로구,2020,맑음,1180.0,1607.0
구로구,2020,비,93.0,145.0
구로구,2020,흐림,45.0,61.0
구로구,2021,눈,7.0,9.0
구로구,2021,맑음,1198.0,1545.0
구로구,2021,비,93.0,122.0
구로구,2021,흐림,22.0,26.0
구로구,2022,눈,5.0,7.0
구로구,2022,맑음,1135.0,1519.0
구로구,2022,비,69.0,97.0
구로구,2022,흐림,23.0,27.0
구로구,2023,눈,3.0,3.0
구로구,2023,맑음,1231.0,1657.0
구로구,2023,비,88.0,129.0
구로구,2023,흐림,31.0,48.0
금천구,2013,눈,11.0,15.0
금천구,2013,맑음,777.0,1167.0
금천구,2013,비,92.0,143.0
금천구,2013,흐림,47.0,77.0
금천구,2014,눈,11.0,17.0
금천구,2014,맑음,888.0,1343.0
금천구,2014,비,68.0,98.0
금천구,2014,흐림,51.0,78.0
금천구,2015,눈,3.0,3.0
금천구,2015,맑음,796.0,1214.0
금천구,2015,비,68.0,97.0
금천구,2015,흐림,44.0,67.0
금천구,2016,눈,5.0,7.0
금천구,2016,맑음,699.0,1009.0
금천구,2016,비,45.0,64.0
금천구,2016,흐림,26.0,34.0
금천구,2017,눈,5.0,12.0
금천구,2017,맑음,720.0,1065.0
금천구,2017,비,35.0,64.0
금천구,2017,흐림,25.0,31.0
금천구,2018,눈,7.0,9.0
금천구,2018,맑음,788.0,1115.0
금천구,2018,비,86.0,124.0
금천구,2018,흐림,31.0,47.0
금천구,2019,눈,1.0,1.0
금천구,2019,맑음,821.0,1229.0
금천구,2019,비,54.0,70.0
금천구,2019,흐림,43.0,61.0
금천구,2020,눈,0.0,0.0
금천구,2020,맑음,698.0,942.0
금천구,2020,비,58.0,77.0
금천구,2020,흐림,50.0,65.0
금천구,2021,눈,7.0,10.0
금천구,2021,맑음,725.0,1025.0
