구,연월,지하철_승객_수
강북구,2024-09,2566988.0
강북구,2024-10,2837724.0
강북구,2024-11,2827271.0
강북구,2024-12,2819905.0
강북구,2025-01,2296374.0
강북구,2025-02,2461883.0
강북구,2025-03,3047279.0
강북구,2025-04,631732.0
강서구,2021-11,206865.0
강서구,2021-12,388952.0
강서구,2022-01,5364822.0
강서구,2022-02,4604914.0
강서구,2022-03,5056180.0
강서구,2022-04,5710493.0
강서구,2022-05,6220180.0
강서구,2022-06,5942299.0
강서구,2022-07,6134163.0
강서구,2022-08,6091978.0
강서구,2022-09,5495376.0
강서구,2022-10,6309702.0
강서구,2022-11,6184103.0
강서구,2022-12,6126167.0
강서구,2023-01,5750144.0
강서구,2023-02,5824014.0
강서구,2023-03,6570016.0
강서구,2023-04,6280404.0
강서구,2023-05,6421245.0
강서구,2023-06,6344034.0
강서구,2023-07,6339201.0
강서구,2023-08,6238004.0
강서구,2023-09,6130764.0
강서구,2023-10,6446067.0
강서구,2023-11,6591903.0
강서구,2023-12,6535859.0
강서구,2024-01,6501918.0
강서구,2024-02,5947335.0
강서구,2024-03,6693868.0
강서구,2024-04,6711652.0
강서구,2024-05,6778990.0
강서구,2024-06,6399266.0
강서구,2024-07,6617447.0
강서구,2024-08,6118597.0
강서구,2024-09,6044471.0
강서구,2024-10,6691692.0
강서구,2024-11,6744918.0
강서구,2024-12,6818478.0
강서구,2025-01,5623644.0
강서구,2025-02,6157144.0
강서구,2025-03,6670872.0
강서구,2025-04,1332166.0
관악구,2021-11,238908.0
관악구,2021-12,466538.0
관악구,2022-01,6412197.0
관악구,2022-02,5472940.0
관악구,2022-03,6134913.0
관악구,2022-04,6922514.0
관악구,2022-05,7580082.0
관악구,2022-06,7304389.0
관악구,2022-07,7492133.0
관악구,2022-08,7380146.0
관악구,2022-09,6786439.0
관악구,2022-10,7819900.0
관악구,2022-11,7663461.0
관악구,2022-12,7761123.0
관악구,2023-01,7036768.0
관악구,2023-02,7150884.0
관악구,2023-03,8156436.0
관악구,2023-04,7749206.0
관악구,2023-05,7822411.0
관악구,2023-06,7669349.0
관악구,2023-07,7532770.0
관악구,2023-08,7318103.0
관악구,2023-09,7295424.0
관악구,2023-10,7615191.0
관악구,2023-11,7692460.0
관악구,2023-12,7726350.0
관악구,2024-01,7536164.0
관악구,2024-02,6859004.0
관악구,2024-03,7969992.0
관악구,2024-04,7889051.0
관악구,2024-05,7988728.0
관악구,2024-06,7547483.0
관악구,2024-07,7725728.0
관악구,2024-08,7136490.0
관악구,2024-09,7121464.0
관악구,2024-10,7936937.0
관악구,2024-11,7950710.0
관악구,2024-12,8059276.0
관악구,2025-01,6565500.0
관악구,2025-02,7116820.0
관악구,2025-03,7903632.0
관악구,2025-04,1621323.0
광진구,2021-11,173356.0
광진구,2021-12,363999.0
광진구,2022-01,4829323.0
광진구,2022-02,4121911.0
광진구,2022-03,4699460.0
광진구,2022-04,5473169.0
광진구,2022-05,6065997.0
광진구,2022-06,5511595.0
광진구,2022-07,5552782.0
광진구,2022-08,5522512.0
광진구,2022-09,5335677.0
광진구,2022-10,6005684.0
광진구,2022-11,5801622.0
광진구,2022-12,5770249.0
광진구,2023-01,5212160.0
광진구,2023-02,5314879.0
광진구,2023-03,6277907.0
광진구,2023-04,5983903.0
광진구,2023-05,6207608.0
광진구,2023-06,5834939.0
광진구,2023-07,5604813.0
광진구,2023-08,5491970.0
광진구,2023-09,5698696.0
광진구,2023-10,6044729.0
광진구,2023-11,5932803.0
광진구,2023-12,5903518.0
광진구,2024-01,5661729.0
광진구,2024-02,5217894.0
광진구,2024-03,6214000.0
광진구,2024-04,6258319.0
광진구,2024-05,6453464.0
광진구,2024-06,5887616.0
광진구,2024-07,5716869.0
광진구,2024-08,5207968.0
광진구,2024-09,5435496.0
광진구,2024-10,6087615.0
광진구,2024-11,6001140.0
광진구,2024-12,5916029.0
광진구,2025-01,4753891.0
광진구,2025-02,5129361.0
광진구,2025-03,6068003.0
광진구,2025-04,1200962.0
구로구,2021-11,172682.0
구로구,2021-12,321841.0
구로구,2022-01,4324541.0
구로구,2022-02,3678538.0
구로구,2022-03,4051035.0
구로구,2022-04,4602523.0
구로구,2022-05,5000289.0
구로구,2022-06,4791342.0
구로구,2022-07,4887750.0
구로구,2022-08,4861572.0
구로구,2022-09,4415940.0
구로구,2022-10,5107690.0
구로구,2022-11,5060107.0
구로구,2022-12,4980181.0
구로구,2023-01,4600175.0
구로구,2023-02,4671953.0
구로구,2023-03,5290061.0
구로구,2023-04,5021381.0
구로구,2023-05,5090295.0
