연도,자치구,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수
2018,은평구,21.0,33.0,0.0
2018,종로구,17.0,28.0,0.0
2018,중구,13.0,17.0,0.0
2018,중랑구,29.0,49.0,0.0
2019,강남구,65.0,107.0,0.0
2019,강동구,29.0,45.0,0.0
2019,강북구,20.0,27.0,0.0
2019,강서구,56.0,71.0,0.0
2019,관악구,23.0,27.0,1.0
2019,광진구,29.0,45.0,1.0
2019,구로구,35.0,40.0,0.0
2019,금천구,30.0,40.0,0.0
2019,노원구,49.0,62.0,0.0
2019,도봉구,12.0,15.0,0.0
2019,동대문구,29.0,39.0,0.0
2019,동작구,18.0,44.0,0.0
2019,마포구,31.0,51.0,0.0
2019,서대문구,20.0,24.0,1.0
2019,서초구,58.0,124.0,1.0
2019,성동구,11.0,21.0,0.0
2019,성북구,15.0,21.0,0.0
2019,송파구,30.0,47.0,0.0
2019,양천구,20.0,38.0,0.0
2019,영등포구,27.0,36.0,0.0
2019,용산구,33.0,64.0,0.0
2019,은평구,20.0,27.0,0.0
2019,종로구,20.0,27.0,1.0
2019,중구,16.0,25.0,0.0
2019,중랑구,25.0,27.0,0.0
2020,강남구,65.0,107.0,0.0
2020,강동구,29.0,45.0,0.0
2020,강북구,20.0,27.0,0.0
2020,강서구,56.0,71.0,0.0
2020,관악구,23.0,27.0,1.0
2020,광진구,29.0,45.0,1.0
2020,구로구,35.0,40.0,0.0
2020,금천구,30.0,40.0,0.0
2020,노원구,49.0,62.0,0.0
2020,도봉구,12.0,15.0,0.0
2020,동대문구,29.0,39.0,0.0
2020,동작구,18.0,44.0,0.0
2020,마포구,31.0,51.0,0.0
2020,서대문구,20.0,24.0,1.0
2020,서초구,58.0,124.0,1.0
2020,성동구,11.0,21.0,0.0
2020,성북구,15.0,21.0,0.0
2020,송파구,30.0,47.0,0.0
2020,양천구,20.0,38.0,0.0
2020,영등포구,27.0,36.0,0.0
2020,용산구,33.0,64.0,0.0
2020,은평구,20.0,27.0,0.0
2020,종로구,20.0,27.0,1.0
2020,중구,16.0,25.0,0.0
2020,중랑구,25.0,27.0,0.0
2021,강남구,106.0,145.0,1.0
2021,강동구,30.0,41.0,0.0
2021,강북구,18.0,22.0,0.0
2021,강서구,60.0,86.0,0.0
2021,관악구,17.0,23.0,2.0
2021,광진구,31.0,39.0,1.0
2021,구로구,42.0,53.0,0.0
2021,금천구,17.0,24.0,0.0
2021,노원구,29.0,40.0,0.0
2021,도봉구,12.0,27.0,0.0
2021,동대문구,24.0,31.0,0.0
2021,동작구,26.0,39.0,0.0
2021,마포구,33.0,38.0,1.0
2021,서대문구,25.0,41.0,0.0
2021,서초구,77.0,96.0,0.0
2021,성동구,18.0,21.0,0.0
2021,성북구,26.0,29.0,0.0
2021,송파구,37.0,57.0,0.0
2021,양천구,19.0,22.0,1.0
2021,영등포구,44.0,56.0,1.0
2021,용산구,36.0,48.0,0.0
2021,은평구,29.0,35.0,0.0
2021,종로구,20.0,24.0,1.0
2021,중구,29.0,38.0,0.0
2021,중랑구,19.0,23.0,1.0
2022,강남구,90.0,122.0,1.0
2022,강동구,30.0,47.0,0.0
2022,강북구,19.0,28.0,0.0
2022,강서구,33.0,54.0,0.0
2022,관악구,29.0,38.0,0.0
2022,광진구,25.0,42.0,1.0
2022,구로구,34.0,51.0,0.0
2022,금천구,26.0,32.0,0.0
2022,노원구,32.0,49.0,0.0
2022,도봉구,7.0,8.0,0.0
2022,동대문구,18.0,21.0,0.0
2022,동작구,17.0,27.0,0.0
2022,마포구,45.0,67.0,0.0
2022,서대문구,26.0,38.0,0.0
2022,서초구,78.0,114.0,1.0
2022,성동구,19.0,35.0,0.0
2022,성북구,17.0,26.0,0.0
2022,송파구,29.0,41.0,0.0
2022,양천구,29.0,45.0,0.0
2022,영등포구,32.0,42.0,0.0
2022,용산구,45.0,57.0,1.0
2022,은평구,40.0,48.0,0.0
2022,종로구,23.0,28.0,0.0
2022,중구,40.0,45.0,0.0
2022,중랑구,23.0,26.0,0.0
2023,강남구,91.0,115.0,1.0
2023,강동구,51.0,76.0,0.0
2023,강북구,12.0,25.0,0.0
2023,강서구,43.0,65.0,0.0
2023,관악구,31.0,37.0,0.0
2023,광진구,17.0,24.0,1.0
2023,구로구,38.0,54.0,0.0
2023,금천구,18.0,25.0,0.0
2023,노원구,11.0,18.0,0.0
2023,도봉구,9.0,9.0,0.0
2023,동대문구,23.0,34.0,2.0
2023,동작구,18.0,25.0,0.0
2023,마포구,74.0,105.0,0.0
2023,서대문구,22.0,29.0,0.0
2023,서초구,137.0,194.0,0.0
2023,성동구,8.0,16.0,0.0
2023,성북구,13.0,18.0,0.0
2023,송파구,34.0,53.0,1.0
2023,양천구,30.0,45.0,1.0
2023,영등포구,34.0,46.0,0.0
2023,용산구,50.0,80.0,1.0
2023,은평구,28.0,38.0,0.0
2023,종로구,26.0,33.0,0.0
2023,중구,23.0,26.0,0.0
2023,중랑구,22.0,25.0,0.0
