구,연도,용도,발생건수,사상자수
서대문구,2022,화물,23,31
서대문구,2023,버스계,80,107
서대문구,2023,승용계,604,831
서대문구,2023,화물,24,35
서초구,2017,버스계,88,141
서초구,2017,승용계,1813,2788
서초구,2017,화물,56,80
서초구,2018,버스계,131,188
서초구,2018,승용계,1883,2797
서초구,2018,화물,44,74
서초구,2019,버스계,111,166
서초구,2019,승용계,1778,2650
서초구,2019,화물,70,103
서초구,2020,버스계,95,138
서초구,2020,승용계,1586,2214
서초구,2020,화물,58,93
서초구,2021,버스계,101,158
서초구,2021,승용계,1458,2043
서초구,2021,화물,49,63
서초구,2022,버스계,129,193
서초구,2022,승용계,1652,2519
서초구,2022,화물,62,91
서초구,2023,버스계,127,269
서초구,2023,승용계,1564,2360
서초구,2023,화물,61,80
성동구,2017,버스계,30,60
성동구,2017,승용계,659,1000
성동구,2017,화물,20,27
성동구,2018,버스계,39,40
성동구,2018,승용계,723,1061
성동구,2018,화물,31,38
성동구,2019,버스계,41,52
성동구,2019,승용계,681,957
성동구,2019,화물,29,43
성동구,2020,버스계,30,34
성동구,2020,승용계,662,939
성동구,2020,화물,29,37
성동구,2021,버스계,20,21
성동구,2021,승용계,635,866
성동구,2021,화물,37,45
성동구,2022,버스계,25,33
성동구,2022,승용계,569,776
성동구,2022,화물,31,35
성동구,2023,버스계,39,50
성동구,2023,승용계,590,815
성동구,2023,화물,33,43
성북구,2017,버스계,90,122
성북구,2017,승용계,1004,1380
성북구,2017,화물,22,49
성북구,2018,버스계,90,129
성북구,2018,승용계,908,1325
성북구,2018,화물,29,39
성북구,2019,버스계,88,124
성북구,2019,승용계,960,1331
성북구,2019,화물,35,45
성북구,2020,버스계,61,82
성북구,2020,승용계,806,1063
성북구,2020,화물,34,44
성북구,2021,버스계,69,80
성북구,2021,승용계,826,1056
성북구,2021,화물,27,34
성북구,2022,버스계,83,103
성북구,2022,승용계,835,1101
성북구,2022,화물,45,52
성북구,2023,버스계,102,118
성북구,2023,승용계,776,1038
성북구,2023,화물,31,36
송파구,2017,버스계,123,178
송파구,2017,승용계,1769,2566
송파구,2017,화물,56,69
송파구,2018,버스계,124,176
송파구,2018,승용계,1889,2736
송파구,2018,화물,71,97
송파구,2019,버스계,109,186
송파구,2019,승용계,1920,2739
송파구,2019,화물,68,94
송파구,2020,버스계,77,101
송파구,2020,승용계,1592,2258
송파구,2020,화물,65,81
송파구,2021,버스계,69,87
송파구,2021,승용계,1643,2302
송파구,2021,화물,67,95
송파구,2022,버스계,108,153
송파구,2022,승용계,1645,2416
송파구,2022,화물,64,90
송파구,2023,버스계,109,135
송파구,2023,승용계,1716,2499
송파구,2023,화물,91,121
양천구,2017,버스계,53,70
양천구,2017,승용계,885,1246
양천구,2017,화물,39,51
양천구,2018,버스계,72,113
양천구,2018,승용계,976,1333
양천구,2018,화물,35,49
양천구,2019,버스계,64,82
양천구,2019,승용계,1007,1481
양천구,2019,화물,38,41
양천구,2020,버스계,48,61
양천구,2020,승용계,904,1273
양천구,2020,화물,34,41
양천구,2021,버스계,45,53
양천구,2021,승용계,877,1199
양천구,2021,화물,18,21
양천구,2022,버스계,54,69
양천구,2022,승용계,793,1079
양천구,2022,화물,18,20
양천구,2023,버스계,73,85
양천구,2023,승용계,813,1100
양천구,2023,화물,41,54
영등포구,2017,버스계,107,141
