district,year,metric,value
강북구,2023,자동차 1만대당 발생건수 (건),105.0
강서구,2005,인구 10만명당 부상자수 (명),488.9
강서구,2005,인구 10만명당 사망자수 (명),3.4
강서구,2005,자동차 1만대당 발생건수 (건),104.2
강서구,2006,인구 10만명당 부상자수 (명),435.3
강서구,2006,인구 10만명당 사망자수 (명),4.3
강서구,2006,자동차 1만대당 발생건수 (건),95.2
강서구,2007,인구 10만명당 부상자수 (명),438.5
강서구,2007,인구 10만명당 사망자수 (명),3.4
강서구,2007,자동차 1만대당 발생건수 (건),97.1
강서구,2008,인구 10만명당 부상자수 (명),481.7
강서구,2008,인구 10만명당 사망자수 (명),3.8
강서구,2008,자동차 1만대당 발생건수 (건),109.2
강서구,2009,인구 10만명당 부상자수 (명),495.0
강서구,2009,인구 10만명당 사망자수 (명),2.6
강서구,2009,자동차 1만대당 발생건수 (건),104.3
강서구,2010,인구 10만명당 부상자수 (명),446.9
강서구,2010,인구 10만명당 사망자수 (명),3.6
강서구,2010,자동차 1만대당 발생건수 (건),95.1
강서구,2011,인구 10만명당 부상자수 (명),475.8
강서구,2011,인구 10만명당 사망자수 (명),2.8
강서구,2011,자동차 1만대당 발생건수 (건),96.6
강서구,2012,인구 10만명당 부상자수 (명),448.4
강서구,2012,인구 10만명당 사망자수 (명),4.4
강서구,2012,자동차 1만대당 발생건수 (건),90.9
강서구,2013,인구 10만명당 부상자수 (명),437.6
강서구,2013,인구 10만명당 사망자수 (명),4.5
강서구,2013,자동차 1만대당 발생건수 (건),88.4
강서구,2014,인구 10만명당 부상자수 (명),441.8
강서구,2014,인구 10만명당 사망자수 (명),5.4
강서구,2014,자동차 1만대당 발생건수 (건),88.6
강서구,2015,인구 10만명당 부상자수 (명),463.7
강서구,2015,인구 10만명당 사망자수 (명),2.0
강서구,2015,자동차 1만대당 발생건수 (건),92.2
강서구,2016,인구 10만명당 부상자수 (명),370.4
강서구,2016,인구 10만명당 사망자수 (명),2.2
강서구,2016,자동차 1만대당 발생건수 (건),78.7
강서구,2017,인구 10만명당 부상자수 (명),354.3
강서구,2017,인구 10만명당 사망자수 (명),2.0
강서구,2017,자동차 1만대당 발생건수 (건),71.8
강서구,2018,인구 10만명당 부상자수 (명),365.8
강서구,2018,인구 10만명당 사망자수 (명),1.8
강서구,2018,자동차 1만대당 발생건수 (건),67.4
강서구,2019,인구 10만명당 부상자수 (명),416.4
강서구,2019,인구 10만명당 사망자수 (명),3.3
강서구,2019,자동차 1만대당 발생건수 (건),81.9
강서구,2020,인구 10만명당 부상자수 (명),363.7
강서구,2020,인구 10만명당 사망자수 (명),2.9
강서구,2020,자동차 1만대당 발생건수 (건),70.2
강서구,2021,인구 10만명당 부상자수 (명),352.2
강서구,2021,인구 10만명당 사망자수 (명),2.2
강서구,2021,자동차 1만대당 발생건수 (건),66.8
강서구,2022,인구 10만명당 부상자수 (명),366.8
강서구,2022,인구 10만명당 사망자수 (명),2.6
강서구,2022,자동차 1만대당 발생건수 (건),71.1
강서구,2023,인구 10만명당 부상자수 (명),371.3
강서구,2023,인구 10만명당 사망자수 (명),1.6
강서구,2023,자동차 1만대당 발생건수 (건),67.7
관악구,2005,인구 10만명당 부상자수 (명),437.2
관악구,2005,인구 10만명당 사망자수 (명),4.7
관악구,2005,자동차 1만대당 발생건수 (건),120.7
관악구,2006,인구 10만명당 부상자수 (명),435.2
관악구,2006,인구 10만명당 사망자수 (명),2.2
관악구,2006,자동차 1만대당 발생건수 (건),119.6
관악구,2007,인구 10만명당 부상자수 (명),471.5
관악구,2007,인구 10만명당 사망자수 (명),3.3
관악구,2007,자동차 1만대당 발생건수 (건),131.0
관악구,2008,인구 10만명당 부상자수 (명),491.1
관악구,2008,인구 10만명당 사망자수 (명),2.4
관악구,2008,자동차 1만대당 발생건수 (건),138.2
관악구,2009,인구 10만명당 부상자수 (명),507.6
관악구,2009,인구 10만명당 사망자수 (명),2.6
관악구,2009,자동차 1만대당 발생건수 (건),140.1
관악구,2010,인구 10만명당 부상자수 (명),478.8
관악구,2010,인구 10만명당 사망자수 (명),2.9
관악구,2010,자동차 1만대당 발생건수 (건),131.3
관악구,2011,인구 10만명당 부상자수 (명),438.5
관악구,2011,인구 10만명당 사망자수 (명),3.1
관악구,2011,자동차 1만대당 발생건수 (건),123.3
관악구,2012,인구 10만명당 부상자수 (명),425.3
관악구,2012,인구 10만명당 사망자수 (명),3.7
관악구,2012,자동차 1만대당 발생건수 (건),119.9
관악구,2013,인구 10만명당 부상자수 (명),463.8
관악구,2013,인구 10만명당 사망자수 (명),3.7
관악구,2013,자동차 1만대당 발생건수 (건),122.9
관악구,2014,인구 10만명당 부상자수 (명),435.6
관악구,2014,인구 10만명당 사망자수 (명),4.1
관악구,2014,자동차 1만대당 발생건수 (건),119.5
관악구,2015,인구 10만명당 부상자수 (명),403.6
관악구,2015,인구 10만명당 사망자수 (명),2.3
관악구,2015,자동차 1만대당 발생건수 (건),111.7
관악구,2016,인구 10만명당 부상자수 (명),360.5
관악구,2016,인구 10만명당 사망자수 (명),3.6
관악구,2016,자동차 1만대당 발생건수 (건),95.9
관악구,2017,인구 10만명당 부상자수 (명),318.5
관악구,2017,인구 10만명당 사망자수 (명),2.1
관악구,2017,자동차 1만대당 발생건수 (건),85.3
관악구,2018,인구 10만명당 부상자수 (명),330.2
관악구,2018,인구 10만명당 사망자수 (명),1.5
관악구,2018,자동차 1만대당 발생건수 (건),89.1
관악구,2019,인구 10만명당 부상자수 (명),339.2
관악구,2019,인구 10만명당 사망자수 (명),1.9
관악구,2019,자동차 1만대당 발생건수 (건),94.3
관악구,2020,인구 10만명당 부상자수 (명),356.8
관악구,2020,인구 10만명당 사망자수 (명),2.6
관악구,2020,자동차 1만대당 발생건수 (건),99.9
관악구,2021,인구 10만명당 부상자수 (명),366.2
관악구,2021,인구 10만명당 사망자수 (명),1.6
관악구,2021,자동차 1만대당 발생건수 (건),101.8
관악구,2022,인구 10만명당 부상자수 (명),306.2
관악구,2022,인구 10만명당 사망자수 (명),1.8
관악구,2022,자동차 1만대당 발생건수 (건),83.5
관악구,2023,인구 10만명당 부상자수 (명),251.5
관악구,2023,인구 10만명당 사망자수 (명),2.0
관악구,2023,자동차 1만대당 발생건수 (건),70.0
광진구,2005,인구 10만명당 부상자수 (명),599.8
광진구,2005,인구 10만명당 사망자수 (명),5.5
광진구,2005,자동차 1만대당 발생건수 (건),146.4
광진구,2006,인구 10만명당 부상자수 (명),612.8
광진구,2006,인구 10만명당 사망자수 (명),2.9
광진구,2006,자동차 1만대당 발생건수 (건),149.1
광진구,2007,인구 10만명당 부상자수 (명),620.1
광진구,2007,인구 10만명당 사망자수 (명),4.4
광진구,2007,자동차 1만대당 발생건수 (건),154.4
광진구,2008,인구 10만명당 부상자수 (명),637.8
광진구,2008,인구 10만명당 사망자수 (명),4.4
광진구,2008,자동차 1만대당 발생건수 (건),151.6
광진구,2009,인구 10만명당 부상자수 (명),604.1
광진구,2009,인구 10만명당 사망자수 (명),6.7
광진구,2009,자동차 1만대당 발생건수 (건),148.9
광진구,2010,인구 10만명당 부상자수 (명),569.0
광진구,2010,인구 10만명당 사망자수 (명),4.4
광진구,2010,자동차 1만대당 발생건수 (건),139.7
광진구,2011,인구 10만명당 부상자수 (명),525.8
광진구,2011,인구 10만명당 사망자수 (명),5.9
광진구,2011,자동차 1만대당 발생건수 (건),128.0
광진구,2012,인구 10만명당 부상자수 (명),569.9
광진구,2012,인구 10만명당 사망자수 (명),4.4
광진구,2012,자동차 1만대당 발생건수 (건),131.9
광진구,2013,인구 10만명당 부상자수 (명),502.3
광진구,2013,인구 10만명당 사망자수 (명),2.6
광진구,2013,자동차 1만대당 발생건수 (건),114.3
광진구,2014,인구 10만명당 부상자수 (명),551.4
광진구,2014,인구 10만명당 사망자수 (명),3.2
광진구,2014,자동차 1만대당 발생건수 (건),130.3
광진구,2015,인구 10만명당 부상자수 (명),464.8
광진구,2015,인구 10만명당 사망자수 (명),4.5
광진구,2015,자동차 1만대당 발생건수 (건),107.5
광진구,2016,인구 10만명당 부상자수 (명),394.0
광진구,2016,인구 10만명당 사망자수 (명),2.4
광진구,2016,자동차 1만대당 발생건수 (건),90.4
광진구,2017,인구 10만명당 부상자수 (명),387.1
광진구,2017,인구 10만명당 사망자수 (명),4.3
광진구,2017,자동차 1만대당 발생건수 (건),90.9
광진구,2018,인구 10만명당 부상자수 (명),397.2
광진구,2018,인구 10만명당 사망자수 (명),2.7
광진구,2018,자동차 1만대당 발생건수 (건),93.2
광진구,2019,인구 10만명당 부상자수 (명),358.6
광진구,2019,인구 10만명당 사망자수 (명),0.8
광진구,2019,자동차 1만대당 발생건수 (건),82.8
광진구,2020,인구 10만명당 부상자수 (명),318.0
광진구,2020,인구 10만명당 사망자수 (명),1.1
광진구,2020,자동차 1만대당 발생건수 (건),73.9
광진구,2021,인구 10만명당 부상자수 (명),344.8
광진구,2021,인구 10만명당 사망자수 (명),1.1
광진구,2021,자동차 1만대당 발생건수 (건),78.7
광진구,2022,인구 10만명당 부상자수 (명),275.0
광진구,2022,인구 10만명당 사망자수 (명),2.6
광진구,2022,자동차 1만대당 발생건수 (건),60.2
광진구,2023,인구 10만명당 부상자수 (명),256.0
광진구,2023,인구 10만명당 사망자수 (명),1.1
광진구,2023,자동차 1만대당 발생건수 (건),61.4
