연도,자치구,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수
2012,영등포구,216.0,6.0,26.0,0.0,31.0,1.0,69.0,1.0,233.0,11.0
2012,용산구,86.0,1.0,26.0,1.0,19.0,1.0,45.0,2.0,98.0,1.0
2012,은평구,160.0,0.0,68.0,0.0,60.0,2.0,63.0,1.0,198.0,10.0
2012,종로구,168.0,1.0,20.0,0.0,29.0,1.0,33.0,1.0,162.0,6.0
2012,중구,182.0,2.0,25.0,0.0,28.0,0.0,29.0,1.0,128.0,5.0
2012,중랑구,179.0,1.0,53.0,1.0,34.0,0.0,29.0,0.0,198.0,7.0
2013,강남구,521.0,8.0,54.0,0.0,50.0,0.0,40.0,3.0,212.0,5.0
2013,강동구,253.0,3.0,11.0,0.0,20.0,0.0,21.0,0.0,123.0,2.0
2013,강북구,210.0,0.0,13.0,0.0,12.0,0.0,30.0,1.0,154.0,6.0
2013,강서구,322.0,7.0,19.0,0.0,17.0,0.0,18.0,1.0,143.0,7.0
2013,관악구,291.0,8.0,29.0,0.0,22.0,0.0,21.0,0.0,190.0,6.0
2013,광진구,204.0,1.0,14.0,0.0,18.0,0.0,8.0,1.0,109.0,1.0
2013,구로구,128.0,2.0,53.0,0.0,32.0,0.0,27.0,0.0,196.0,8.0
2013,금천구,122.0,1.0,11.0,0.0,9.0,0.0,8.0,1.0,110.0,6.0
2013,노원구,112.0,1.0,34.0,1.0,14.0,1.0,31.0,1.0,216.0,1.0
2013,도봉구,112.0,2.0,10.0,0.0,24.0,0.0,19.0,0.0,131.0,3.0
2013,동대문구,319.0,4.0,12.0,0.0,16.0,0.0,23.0,1.0,173.0,5.0
2013,동작구,179.0,5.0,25.0,0.0,24.0,0.0,12.0,0.0,123.0,4.0
2013,마포구,224.0,6.0,23.0,0.0,20.0,0.0,36.0,1.0,151.0,7.0
2013,서대문구,130.0,4.0,8.0,0.0,35.0,0.0,36.0,1.0,126.0,5.0
2013,서초구,304.0,2.0,16.0,0.0,30.0,2.0,28.0,0.0,129.0,4.0
2013,성동구,163.0,3.0,12.0,0.0,6.0,0.0,3.0,0.0,82.0,2.0
2013,성북구,116.0,0.0,29.0,1.0,23.0,1.0,37.0,2.0,257.0,4.0
2013,송파구,323.0,2.0,24.0,0.0,21.0,1.0,51.0,1.0,165.0,5.0
2013,양천구,186.0,2.0,17.0,0.0,27.0,0.0,36.0,0.0,138.0,2.0
2013,영등포구,229.0,2.0,31.0,0.0,27.0,1.0,48.0,0.0,248.0,15.0
2013,용산구,144.0,1.0,18.0,0.0,11.0,1.0,36.0,0.0,101.0,2.0
2013,은평구,192.0,3.0,47.0,0.0,24.0,0.0,43.0,1.0,172.0,1.0
2013,종로구,126.0,3.0,25.0,0.0,17.0,2.0,49.0,2.0,147.0,4.0
