구,항목,모델,R2,학습데이터수
강서구,차대사람_발생건수,선형회귀,0.4381,19
관악구,차대사람_발생건수,선형회귀,0.6371,19
광진구,차대사람_발생건수,선형회귀,0.7485,19
구로구,차대사람_발생건수,선형회귀,0.1999,19
금천구,차대사람_발생건수,선형회귀,0.1503,19
노원구,차대사람_발생건수,선형회귀,0.4312,19
도봉구,차대사람_발생건수,선형회귀,0.5196,19
동대문구,차대사람_발생건수,선형회귀,0.3835,19
동작구,차대사람_발생건수,선형회귀,0.4749,19
마포구,차대사람_발생건수,선형회귀,0.2273,19
서대문구,차대사람_발생건수,선형회귀,0.2113,19
서초구,차대사람_발생건수,선형회귀,0.4349,19
성동구,차대사람_발생건수,선형회귀,0.0084,19
성북구,차대사람_발생건수,선형회귀,0.4421,19
송파구,차대사람_발생건수,선형회귀,0.1631,19
양천구,차대사람_발생건수,선형회귀,0.187,19
영등포구,차대사람_발생건수,선형회귀,0.2321,19
용산구,차대사람_발생건수,선형회귀,0.0786,19
은평구,차대사람_발생건수,선형회귀,0.5334,19
종로구,차대사람_발생건수,선형회귀,0.3419,19
중구,차대사람_발생건수,선형회귀,0.4874,19
중랑구,차대사람_발생건수,선형회귀,0.6574,19
강남구,차대차_발생건수,선형회귀,0.432,19
강동구,차대차_발생건수,선형회귀,0.4482,19
강북구,차대차_발생건수,선형회귀,0.4049,19
