구,항목,모델,R2,학습데이터수
동작구,비_사상자수,선형회귀,0.2273,11
마포구,비_사상자수,선형회귀,0.8336,11
서대문구,비_사상자수,선형회귀,0.3557,11
서초구,비_사상자수,선형회귀,0.6219,11
성동구,비_사상자수,선형회귀,0.1638,11
성북구,비_사상자수,선형회귀,0.5435,11
송파구,비_사상자수,선형회귀,0.2462,11
양천구,비_사상자수,선형회귀,0.6883,11
영등포구,비_사상자수,선형회귀,0.6078,11
용산구,비_사상자수,선형회귀,0.6079,11
은평구,비_사상자수,선형회귀,0.248,11
종로구,비_사상자수,선형회귀,0.7437,11
중구,비_사상자수,선형회귀,0.6714,11
중랑구,비_사상자수,선형회귀,0.4772,11
강남구,흐림_사상자수,선형회귀,0.6239,11
강동구,흐림_사상자수,선형회귀,0.7967,11
강북구,흐림_사상자수,선형회귀,0.6766,11
강서구,흐림_사상자수,선형회귀,0.2627,11
관악구,흐림_사상자수,선형회귀,0.266,11
광진구,흐림_사상자수,선형회귀,0.2048,11
구로구,흐림_사상자수,선형회귀,0.7477,11
금천구,흐림_사상자수,선형회귀,0.3842,11
노원구,흐림_사상자수,선형회귀,0.2634,11
도봉구,흐림_사상자수,선형회귀,0.3853,11
동대문구,흐림_사상자수,선형회귀,0.653,11
동작구,흐림_사상자수,선형회귀,0.1219,11
마포구,흐림_사상자수,선형회귀,0.2946,11
서대문구,흐림_사상자수,선형회귀,0.0398,11
서초구,흐림_사상자수,선형회귀,0.1629,11
성동구,흐림_사상자수,선형회귀,0.0645,11
성북구,흐림_사상자수,선형회귀,0.8713,11
송파구,흐림_사상자수,선형회귀,0.7088,11
양천구,흐림_사상자수,선형회귀,0.73,11
영등포구,흐림_사상자수,선형회귀,0.8097,11
용산구,흐림_사상자수,선형회귀,0.3875,11
은평구,흐림_사상자수,선형회귀,0.915,11
종로구,흐림_사상자수,선형회귀,0.5522,11
중구,흐림_사상자수,선형회귀,0.6383,11
중랑구,흐림_사상자수,선형회귀,0.2144,11
