연도,자치구,가해_발생건수,피해_발생건수,가해_사망자수,피해_사망자수,가해_부상자수,피해_부상자수
2010,강서구,69,70,1,0,69,74
2010,구로구,49,72,1,0,51,74
2010,금천구,32,37,0,0,34,38
2010,영등포구,106,133,3,3,111,139
2010,동작구,20,40,0,0,21,42
2010,관악구,27,47,0,0,30,47
2010,서초구,21,54,0,0,25,57
2010,강남구,25,68,0,1,29,72
2010,송파구,57,216,1,2,62,226
2010,강동구,37,142,1,1,37,143
2011,소계,1020,1997,9,10,1067,2092
2011,종로구,19,38,0,0,19,38
2011,중구,18,26,0,0,21,26
2011,용산구,17,35,0,0,19,37
2011,성동구,47,84,1,1,48,85
2011,광진구,26,102,0,1,28,102
2011,동대문구,57,111,0,0,57,117
2011,중랑구,85,81,2,1,87,88
2011,성북구,32,58,0,0,36,61
2011,강북구,26,54,0,1,30,56
2011,도봉구,29,73,0,1,31,76
2011,노원구,33,108,1,0,33,109
2011,은평구,44,72,0,0,44,73
2011,서대문구,6,27,0,0,6,28
2011,마포구,29,77,1,0,31,83
2011,양천구,41,139,0,1,44,148
2011,강서구,44,98,0,2,46,107
2011,구로구,49,55,1,2,52,59
2011,금천구,44,49,0,0,46,51
2011,영등포구,127,154,0,0,135,170
2011,동작구,29,38,0,0,29,40
2011,관악구,41,57,1,0,40,60
2011,서초구,34,39,0,0,36,42
2011,강남구,22,75,0,0,24,79
2011,송파구,68,221,1,0,71,226
2011,강동구,53,126,1,0,54,131
2012,소계,1388,2053,19,11,1460,2135
2012,종로구,14,39,0,0,15,40
2012,중구,12,18,0,0,13,18
2012,용산구,26,31,0,0,28,31
2012,성동구,41,71,0,0,50,80
2012,광진구,56,123,1,0,58,125
2012,동대문구,97,92,4,0,98,95
2012,중랑구,115,84,1,0,118,91
2012,성북구,45,67,1,0,47,70
2012,강북구,35,45,1,0,39,48
2012,도봉구,51,79,0,2,51,78
2012,노원구,46,120,1,1,51,122
2012,은평구,67,84,0,0,71,89
2012,서대문구,13,24,0,0,13,25
2012,마포구,70,89,1,2,73,93
2012,양천구,59,108,2,0,59,110
2012,강서구,62,100,0,1,65,104
2012,구로구,59,85,0,1,61,87
2012,금천구,58,48,2,0,63,53
2012,영등포구,138,122,1,0,149,131
2012,동작구,36,42,0,0,38,45
2012,관악구,41,48,1,1,40,48
2012,서초구,35,56,0,0,38,60
2012,강남구,44,102,2,0,45,105
2012,송파구,128,235,0,3,135,242
2012,강동구,40,141,1,0,42,145
2013,소계,1582,2017,14,13,1708,2128
2013,종로구,22,23,0,0,22,23
2013,중구,6,20,0,0,6,21
2013,용산구,49,40,0,0,60,49
2013,성동구,56,81,0,0,65,87
2013,광진구,69,103,1,1,73,107
2013,동대문구,113,119,0,2,118,120
2013,중랑구,89,95,0,1,94,98
2013,성북구,32,51,0,0,34,53
2013,강북구,25,44,0,1,26,45
2013,도봉구,60,63,2,0,63,67
2013,노원구,56,113,0,0,60,118
2013,은평구,50,73,0,0,55,77
2013,서대문구,24,28,0,0,26,29
2013,마포구,75,85,0,0,89,94
2013,양천구,64,110,3,2,65,113
2013,강서구,72,106,1,0,76,110
2013,구로구,74,67,0,0,76,71
2013,금천구,50,37,1,0,51,40
2013,영등포구,173,128,3,1,184,137
2013,동작구,51,57,0,1,58,63
2013,관악구,55,50,0,0,56,51
2013,서초구,32,49,0,0,34,51
2013,강남구,63,96,0,0,70,105
2013,송파구,178,236,2,2,200,252
2013,강동구,44,143,1,2,47,147
2014,소계,2065,2449,19,20,2250,2594
2014,종로구,23,31,1,1,25,33
2014,중구,9,23,1,0,8,24
2014,용산구,50,57,0,0,65,70
2014,성동구,79,98,1,0,87,105
2014,광진구,110,113,0,1,122,124
2014,동대문구,136,116,1,0,145,125
2014,중랑구,126,108,0,0,135,112
2014,성북구,65,57,1,0,70,61
2014,강북구,59,70,0,3,62,67
2014,도봉구,59,81,0,2,61,82
2014,노원구,90,123,1,0,93,127
2014,은평구,66,73,1,0,70,77
2014,서대문구,30,34,1,0,32,35
2014,마포구,59,90,2,1,64,92
2014,양천구,103,129,1,1,107,132
2014,강서구,111,115,2,2,114,119
2014,구로구,94,100,1,1,108,112
2014,금천구,46,53,0,0,52,56
2014,영등포구,228,191,1,0,264,220
2014,동작구,79,73,1,1,93,77
2014,관악구,59,62,0,0,66,67
2014,서초구,52,76,0,1,56,79
2014,강남구,70,121,0,0,73,124
2014,송파구,197,273,1,4,212,288
2014,강동구,65,182,2,2,66,186
2015,소계,2230,2299,15,12,2435,2475
2015,종로구,32,27,0,0,35,27
2015,중구,13,26,0,0,13,27
2015,용산구,37,45,1,0,39,49
2015,성동구,92,111,0,1,108,125
2015,광진구,96,102,0,1,110,107
2015,동대문구,159,118,0,1,165,121
2015,중랑구,140,97,1,0,154,109
2015,성북구,65,60,1,1,68,63
2015,강북구,55,79,0,2,59,81
2015,도봉구,60,66,0,0,65,70
2015,노원구,108,117,4,1,113,125
2015,은평구,85,62,0,0,98,68
2015,서대문구,39,33,0,0,41,34
2015,마포구,104,109,0,1,107,112
2015,양천구,93,102,3,0,93,108
2015,강서구,118,127,1,0,129,138
2015,구로구,84,86,1,0,90,93
2015,금천구,49,31,0,0,55,33
2015,영등포구,222,185,3,1,247,210
2015,동작구,78,82,0,0,88,89
2015,관악구,48,50,0,0,51,50
2015,서초구,53,67,0,0,59,72
2015,강남구,91,123,0,2,100,135
2015,송파구,222,254,0,1,254,281
2015,강동구,87,140,0,0,94,148
2016,소계,1884,1961,15,12,2051,2088
2016,종로구,22,29,0,0,23,31
2016,중구,6,20,0,0,6,21
2016,용산구,48,43,0,0,55,50
2016,성동구,63,84,1,0,69,91
2016,광진구,62,66,0,0,66,69
2016,동대문구,128,124,1,2,135,128
2016,중랑구,104,96,0,0,115,103
2016,성북구,43,53,0,0,43,53
2016,강북구,41,62,1,0,48,62
2016,도봉구,70,73,1,1,76,74
2016,노원구,91,97,0,2,94,100
2016,은평구,56,56,2,1,62,57
2016,서대문구,36,29,1,1,37,32
2016,마포구,52,97,0,0,56,104
2016,양천구,104,95,2,1,109,103
2016,강서구,125,78,1,0,127,84
2016,구로구,84,95,2,0,90,99
2016,금천구,31,25,0,1,33,26
2016,영등포구,193,152,1,2,216,166
2016,동작구,67,56,2,0,81,65
2016,관악구,39,33,0,1,39,32
2016,서초구,48,64,0,0,49,65
2016,강남구,74,77,0,0,85,84
2016,송파구,206,211,0,0,238,230
2016,강동구,91,146,0,0,99,159
2017,소계,1656,1607,16,14,1776,1701
2017,종로구,29,29,0,1,29,34
2017,중구,12,15,0,1,12,17
2017,용산구,41,38,0,0,47,43
2017,성동구,63,56,2,1,64,61
2017,광진구,60,54,1,1,62,54
2017,동대문구,107,101,1,1,110,104
2017,중랑구,114,94,1,0,127,97
2017,성북구,51,54,1,0,54,55
2017,강북구,46,47,0,0,53,52
2017,도봉구,66,71,0,1,68,72
2017,노원구,77,71,0,0,82,76
2017,은평구,51,35,0,0,52,37
2017,서대문구,26,34,0,0,29,34
2017,마포구,48,65,0,0,49,70
2017,양천구,76,70,0,1,78,70
2017,강서구,87,75,2,1,93,83
2017,구로구,49,79,0,2,51,79
2017,금천구,26,29,0,0,27,29
2017,영등포구,150,107,1,1,163,115
2017,동작구,54,58,1,0,65,69
2017,관악구,36,20,0,0,39,21
2017,서초구,30,33,0,0,31,33
2017,강남구,63,75,0,1,68,78
2017,송파구,214,187,1,1,241,203
2017,강동구,80,110,5,1,82,115
2018,소계,1471,1447,18,11,1573,1513
2018,종로구,21,19,0,0,22,19
2018,중구,14,13,1,0,13,13
2018,용산구,26,30,0,1,34,35
2018,성동구,47,69,1,1,51,72
2018,광진구,70,45,2,0,72,49
2018,동대문구,105,99,1,2,114,101
2018,중랑구,78,62,1,0,80,65
2018,성북구,41,34,0,0,41,34
2018,강북구,41,41,1,0,41,42
2018,도봉구,45,57,1,0,45,58
2018,노원구,86,75,1,0,88,78
2018,은평구,51,55,1,0,54,56
2018,서대문구,30,25,0,0,35,29
2018,마포구,45,46,1,0,46,49
2018,양천구,46,75,0,0,54,78
2018,강서구,59,44,1,1,59,46
2018,구로구,53,77,0,1,59,80
2018,금천구,25,22,0,0,26,24
2018,영등포구,161,119,4,1,172,125
2018,동작구,63,51,0,0,71,55
2018,관악구,25,31,1,0,24,31
2018,서초구,36,42,0,0,38,42
2018,강남구,59,60,1,1,68,63
2018,송파구,178,165,0,1,196,176
2018,강동구,66,91,0,2,70,93
2019,소계,1766,1599,11,7,1950,1714
2019,종로구,19,22,1,0,18,23
2019,중구,23,17,0,0,25,17
2019,용산구,22,31,0,0,23,33
2019,성동구,63,70,0,1,68,73
2019,광진구,61,48,0,0,65,50
2019,동대문구,110,75,1,1,120,78
2019,중랑구,99,67,2,0,105,71
2019,성북구,37,58,0,1,39,58
2019,강북구,57,50,2,0,62,51
2019,도봉구,62,56,0,0,77,61
2019,노원구,119,91,0,0,126,94
2019,은평구,62,61,1,0,69,64
2019,서대문구,48,21,1,0,49,24
2019,마포구,52,54,0,0,58,56
2019,양천구,70,75,1,0,70,76
2019,강서구,72,89,0,1,79,94
2019,구로구,71,68,0,1,78,70
2019,금천구,40,33,1,0,48,36
2019,영등포구,189,130,0,1,219,155
2019,동작구,53,42,0,0,63,52
2019,관악구,43,31,1,0,46,33
2019,서초구,46,34,0,0,50,37
2019,강남구,60,54,0,0,70,57
2019,송파구,218,216,0,0,245,241
2019,강동구,70,106,0,1,78,110
2020,소계,1802,1641,14,9,2018,1790
2020,종로구,20,23,1,0,23,23
2020,중구,20,17,0,0,21,17
2020,용산구,18,25,0,0,22,27
2020,성동구,93,74,1,0,102,85
2020,광진구,45,47,0,0,48,49
2020,동대문구,114,95,0,0,126,101
2020,중랑구,114,95,1,0,125,110
2020,성북구,40,33,0,0,44,35
2020,강북구,38,36,0,0,43,36
2020,도봉구,57,39,1,0,60,43
2020,노원구,112,104,0,1,121,108
2020,은평구,43,39,1,0,46,40
2020,서대문구,38,24,1,0,39,26
2020,마포구,51,64,0,1,59,71
2020,양천구,75,69,1,0,93,76
2020,강서구,73,92,0,2,79,97
2020,구로구,58,47,0,1,65,50
2020,금천구,36,27,1,0,42,30
2020,영등포구,210,140,1,0,238,162
2020,동작구,67,59,0,0,81,69
2020,관악구,44,33,1,2,43,32
2020,서초구,60,59,1,0,64,62
