동별,구분별,연월,거주인구,유동인구
중랑구,계,2022-10-01,390140,2912101
중랑구,계,2022-11-01,390140,2852295
중랑구,계,2022-12-01,390140,2800243
중랑구,계,2023-01-01,389928,2581992
중랑구,계,2023-02-01,389928,2618930
중랑구,계,2023-03-01,389928,3032681
중랑구,계,2023-04-01,389316,2874217
중랑구,계,2023-05-01,389316,2993101
중랑구,계,2023-06-01,389316,2850467
중랑구,계,2023-07-01,387940,2775219
중랑구,계,2023-08-01,387940,2726626
중랑구,계,2023-09-01,387940,2749077
중랑구,계,2023-10-01,387470,2871177
중랑구,계,2023-11-01,387470,2899477
중랑구,계,2023-12-01,387470,2862374
중랑구,계,2024-01-01,387433,2803893
중랑구,계,2024-02-01,387433,2574013
중랑구,계,2024-03-01,387433,2980321
중랑구,계,2024-04-01,386782,2975396
중랑구,계,2024-05-01,386782,3065498
중랑구,계,2024-06-01,386782,2808396
중랑구,계,2024-07-01,386131,2845250
중랑구,계,2024-08-01,386131,2611069
중랑구,계,2024-09-01,386131,2656225
중랑구,계,2024-10-01,385349,2945852
중랑구,계,2024-11-01,385349,2934196
중랑구,계,2024-12-01,385349,2925093
중랑구,계,2025-01-01,384320,2411130
중랑구,계,2025-02-01,384320,2606347
중랑구,계,2025-03-01,384320,2961834
성북구,계,2008-01-01,478760,0
성북구,계,2008-02-01,478760,0
성북구,계,2008-03-01,478760,0
성북구,계,2008-04-01,480301,0
성북구,계,2008-05-01,480301,0
성북구,계,2008-06-01,480301,0
성북구,계,2008-07-01,480956,0
성북구,계,2008-08-01,480956,0
성북구,계,2008-09-01,480956,0
성북구,계,2008-10-01,481419,0
성북구,계,2008-11-01,481419,0
성북구,계,2008-12-01,481419,0
성북구,계,2009-01-01,483393,0
성북구,계,2009-02-01,483393,0
성북구,계,2009-03-01,483393,0
성북구,계,2009-04-01,483844,0
성북구,계,2009-05-01,483844,0
성북구,계,2009-06-01,483844,0
성북구,계,2009-07-01,484380,0
성북구,계,2009-08-01,484380,0
성북구,계,2009-09-01,484380,0
성북구,계,2009-10-01,484457,0
성북구,계,2009-11-01,484457,0
성북구,계,2009-12-01,484457,0
성북구,계,2010-01-01,484359,0
성북구,계,2010-02-01,484359,0
성북구,계,2010-03-01,484359,0
성북구,계,2010-04-01,483595,0
성북구,계,2010-05-01,483595,0
성북구,계,2010-06-01,483595,0
성북구,계,2010-07-01,486982,0
성북구,계,2010-08-01,486982,0
성북구,계,2010-09-01,486982,0
성북구,계,2010-10-01,497692,0
성북구,계,2010-11-01,497692,0
성북구,계,2010-12-01,497692,0
성북구,계,2011-01-01,498616,0
성북구,계,2011-02-01,498616,0
성북구,계,2011-03-01,498616,0
성북구,계,2011-04-01,497395,0
성북구,계,2011-05-01,497395,0
성북구,계,2011-06-01,497395,0
성북구,계,2011-07-01,496556,0
성북구,계,2011-08-01,496556,0
성북구,계,2011-09-01,496556,0
성북구,계,2011-10-01,494422,0
성북구,계,2011-11-01,494422,0
성북구,계,2011-12-01,494422,0
성북구,계,2012-01-01,493973,0
성북구,계,2012-02-01,493973,0
성북구,계,2012-03-01,493973,0
성북구,계,2012-04-01,492771,0
성북구,계,2012-05-01,492771,0
성북구,계,2012-06-01,492771,0
성북구,계,2012-07-01,492429,0
성북구,계,2012-08-01,492429,0
성북구,계,2012-09-01,492429,0
성북구,계,2012-10-01,490639,0
성북구,계,2012-11-01,490639,0
성북구,계,2012-12-01,490639,0
성북구,계,2013-01-01,490566,0
성북구,계,2013-02-01,490566,0
성북구,계,2013-03-01,490566,0
성북구,계,2013-04-01,489369,0
성북구,계,2013-05-01,489369,0
성북구,계,2013-06-01,489369,0
성북구,계,2013-07-01,488543,0
성북구,계,2013-08-01,488543,0
성북구,계,2013-09-01,488543,0
성북구,계,2013-10-01,485347,0
성북구,계,2013-11-01,485347,0
성북구,계,2013-12-01,485347,0
성북구,계,2014-01-01,484786,0
성북구,계,2014-02-01,484786,0
성북구,계,2014-03-01,484786,0
성북구,계,2014-04-01,482095,0
성북구,계,2014-05-01,482095,0
성북구,계,2014-06-01,482095,0
성북구,계,2014-07-01,479810,0
성북구,계,2014-08-01,479810,0
성북구,계,2014-09-01,479810,0
성북구,계,2014-10-01,475961,0
성북구,계,2014-11-01,475961,0
성북구,계,2014-12-01,475961,0
성북구,계,2015-01-01,475900,0
성북구,계,2015-02-01,475900,0
성북구,계,2015-03-01,475900,0
성북구,계,2015-04-01,473642,0
성북구,계,2015-05-01,473642,0
성북구,계,2015-06-01,473642,0
성북구,계,2015-07-01,472309,0
성북구,계,2015-08-01,472309,0
성북구,계,2015-09-01,472309,0
성북구,계,2015-10-01,469560,0
성북구,계,2015-11-01,469560,0
성북구,계,2015-12-01,469560,0
성북구,계,2016-01-01,468699,0
성북구,계,2016-02-01,468699,0
성북구,계,2016-03-01,468699,0
성북구,계,2016-04-01,467142,0
성북구,계,2016-05-01,467142,0
성북구,계,2016-06-01,467142,0
성북구,계,2016-07-01,464505,0
성북구,계,2016-08-01,464505,0
성북구,계,2016-09-01,464505,0
성북구,계,2016-10-01,461617,0
성북구,계,2016-11-01,461617,0
성북구,계,2016-12-01,461617,0
성북구,계,2017-01-01,461260,0
성북구,계,2017-02-01,461260,0
성북구,계,2017-03-01,461260,0
성북구,계,2017-04-01,459276,0
성북구,계,2017-05-01,459276,0
성북구,계,2017-06-01,459276,0
성북구,계,2017-07-01,458261,0
성북구,계,2017-08-01,458261,0
성북구,계,2017-09-01,458261,0
성북구,계,2017-10-01,455407,0
성북구,계,2017-11-01,455407,0
성북구,계,2017-12-01,455407,0
성북구,계,2018-01-01,453902,0
성북구,계,2018-02-01,453902,0
성북구,계,2018-03-01,453902,0
성북구,계,2018-04-01,451829,0
성북구,계,2018-05-01,451829,0
성북구,계,2018-06-01,451829,0
성북구,계,2018-07-01,449574,0
성북구,계,2018-08-01,449574,0
성북구,계,2018-09-01,449574,0
성북구,계,2018-10-01,447687,0
성북구,계,2018-11-01,447687,0
성북구,계,2018-12-01,447687,0
성북구,계,2019-01-01,450021,0
성북구,계,2019-02-01,450021,0
성북구,계,2019-03-01,450021,0
성북구,계,2019-04-01,452292,0
성북구,계,2019-05-01,452292,0
성북구,계,2019-06-01,452292,0
성북구,계,2019-07-01,454114,0
