연도,구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
2011,강동구,501476.0,118.0,202.0,1.0,23.0,0.0,27.0,0.0,36.0,0.0,162.0,4.0,57.0,111.0,2.0,179.0,1.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,966.0,32.0,455.0,1600.0,38.0,415.6,2.6,89.9
2012,강동구,495034.0,121.0,250.0,3.0,19.0,0.0,21.0,1.0,29.0,1.0,133.0,5.0,49.0,71.0,0.0,181.0,1.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,970.0,50.0,453.0,1525.0,69.0,411.8,3.7,92.8
2013,강동구,489935.0,113.0,253.0,3.0,11.0,0.0,20.0,0.0,21.0,0.0,123.0,2.0,42.0,63.0,0.0,187.0,3.0,194.0,14.0,1168.0,93.0,63.0,32.0,1651.0,143.0,99.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,915.0,39.0,430.0,1476.0,48.0,398.0,2.5,86.3
2014,강동구,484191.0,120.0,267.0,5.0,22.0,1.0,16.0,0.0,14.0,0.0,144.0,1.0,50.0,88.0,0.0,247.0,4.0,252.0,7.0,1290.0,84.0,51.0,14.0,1788.0,133.0,78.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,963.0,27.0,474.0,1521.0,33.0,418.4,2.9,91.6
2015,강동구,469446.0,124.0,252.0,7.0,24.0,0.0,23.0,0.0,34.0,1.0,157.0,6.0,54.0,94.0,1.0,227.0,0.0,242.0,5.0,1308.0,107.0,66.0,5.0,1886.0,165.0,87.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,963.0,52.0,503.0,1590.0,59.0,459.5,5.0,96.6
2016,강동구,453991.0,118.0,157.0,4.0,17.0,0.0,12.0,0.0,16.0,1.0,238.0,7.0,36.0,50.0,2.0,237.0,0.0,258.0,6.0,1243.0,107.0,60.0,7.0,1715.0,158.0,81.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,959.0,41.0,441.0,1489.0,44.0,436.4,3.8,93.3
2017,강동구,448353.0,114.0,178.0,4.0,10.0,0.0,16.0,2.0,27.0,1.0,205.0,3.0,16.0,19.0,0.0,190.0,6.0,197.0,5.0,1177.0,80.0,109.0,7.0,1651.0,105.0,129.0,243.0,66.0,872.0,44.0,107.0,1236.0,72.0,427.0,906.0,38.0,468.0,1374.0,50.0,425.3,4.3,89.6
2018,강동구,435546.0,118.0,203.0,3.0,22.0,2.0,30.0,1.0,24.0,0.0,129.0,2.0,37.0,56.0,0.0,157.0,2.0,163.0,10.0,1239.0,97.0,67.0,11.0,1687.0,119.0,110.0,311.0,76.0,917.0,40.0,124.0,1307.0,50.0,394.0,978.0,46.0,414.0,1465.0,55.0,445.0,2.8,93.5
2019,강동구,432265.0,117.0,170.0,2.0,17.0,0.0,38.0,0.0,37.0,0.0,190.0,5.0,29.0,45.0,0.0,176.0,1.0,188.0,3.0,1222.0,98.0,89.0,3.0,1676.0,128.0,111.0,238.0,88.0,866.0,40.0,122.0,1198.0,73.0,437.0,944.0,33.0,461.0,1424.0,36.0,433.7,2.5,90.5
2020,강동구,461215.0,105.0,130.0,0.0,38.0,0.0,28.0,0.0,45.0,0.0,64.0,2.0,29.0,45.0,0.0,182.0,3.0,192.0,1.0,1133.0,94.0,39.0,1.0,1432.0,118.0,55.0,207.0,62.0,774.0,32.0,87.0,980.0,49.0,342.0,890.0,36.0,355.0,1211.0,41.0,344.8,1.5,75.9
2021,강동구,468094.0,87.0,121.0,2.0,15.0,0.0,14.0,0.0,23.0,1.0,68.0,4.0,30.0,41.0,0.0,125.0,0.0,132.0,14.0,949.0,55.0,27.0,22.0,1276.0,70.0,52.0,193.0,41.0,658.0,39.0,58.0,929.0,55.0,242.0,788.0,17.0,248.0,1154.0,20.0,302.9,1.9,61.7
2022,강동구,464780.0,95.0,126.0,2.0,9.0,0.0,27.0,0.0,15.0,0.0,90.0,1.0,30.0,47.0,0.0,139.0,0.0,146.0,4.0,1037.0,69.0,29.0,11.0,1396.0,98.0,40.0,164.0,45.0,761.0,47.0,56.0,1065.0,71.0,262.0,865.0,24.0,268.0,1261.0,31.0,334.7,1.5,67.5
2023,강동구,463200.0,98.0,151.0,0.0,12.0,0.0,31.0,0.0,29.0,0.0,83.0,0.0,51.0,76.0,0.0,150.0,0.0,161.0,6.0,1064.0,69.0,38.0,9.0,1366.0,91.0,50.0,150.0,73.0,782.0,34.0,87.0,1036.0,48.0,291.0,873.0,21.0,306.0,1196.0,24.0,328.5,0.9,69.1
2024,강동구,470852.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,강동구,500002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,강북구,0.0,94.0,135.0,4.0,15.0,0.0,22.0,1.0,21.0,1.0,190.0,5.0,44.0,62.0,2.0,36.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,753.0,20.0,396.0,1205.0,23.0,452.0,5.1,124.4
2006,강북구,0.0,104.0,71.0,1.0,65.0,1.0,22.0,0.0,41.0,0.0,212.0,2.0,42.0,66.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,839.0,26.0,419.0,1337.0,28.0,505.4,2.0,137.4
2007,강북구,0.0,105.0,48.0,0.0,59.0,0.0,22.0,0.0,48.0,0.0,232.0,8.0,53.0,66.0,1.0,60.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,845.0,34.0,420.0,1345.0,38.0,513.9,3.2,137.8
2008,강북구,346440.0,114.0,96.0,0.0,52.0,1.0,19.0,0.0,34.0,0.0,216.0,5.0,43.0,71.0,0.0,83.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,916.0,54.0,428.0,1411.0,60.0,545.8,3.5,149.6
2009,강북구,344842.0,116.0,130.0,1.0,52.0,1.0,24.0,0.0,39.0,0.0,213.0,3.0,37.0,66.0,1.0,73.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,914.0,39.0,471.0,1453.0,45.0,566.7,5.8,151.0
2010,강북구,345211.0,107.0,138.0,3.0,57.0,0.0,33.0,2.0,36.0,0.0,210.0,6.0,33.0,48.0,1.0,72.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,813.0,34.0,485.0,1272.0,39.0,508.6,4.6,137.4
2011,강북구,349186.0,97.0,144.0,1.0,38.0,0.0,22.0,0.0,26.0,0.0,160.0,1.0,26.0,59.0,0.0,80.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,784.0,28.0,395.0,1227.0,33.0,472.6,2.0,124.1
2012,강북구,348197.0,101.0,163.0,1.0,27.0,1.0,14.0,0.0,41.0,1.0,153.0,2.0,29.0,51.0,0.0,80.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,784.0,49.0,402.0,1229.0,58.0,484.9,2.6,125.6
2013,강북구,343989.0,92.0,210.0,0.0,13.0,0.0,12.0,0.0,30.0,1.0,154.0,6.0,25.0,39.0,1.0,69.0,1.0,71.0,8.0,860.0,85.0,152.0,10.0,1190.0,112.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,678.0,30.0,424.0,1074.0,37.0,446.0,2.9,115.0
2014,강북구,339671.0,109.0,263.0,2.0,14.0,0.0,9.0,0.0,20.0,0.0,136.0,6.0,22.0,35.0,1.0,129.0,3.0,129.0,6.0,967.0,93.0,245.0,8.0,1333.0,111.0,331.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,842.0,48.0,445.0,1288.0,52.0,523.9,3.5,136.0
2015,강북구,336314.0,105.0,197.0,4.0,15.0,1.0,21.0,0.0,24.0,1.0,183.0,5.0,18.0,30.0,0.0,134.0,2.0,140.0,1.0,1025.0,92.0,142.0,1.0,1384.0,131.0,177.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,787.0,49.0,466.0,1178.0,56.0,503.6,4.8,129.5
2016,강북구,332293.0,102.0,175.0,2.0,28.0,0.0,15.0,0.0,15.0,0.0,188.0,6.0,25.0,52.0,0.0,103.0,1.0,110.0,3.0,1014.0,84.0,121.0,3.0,1390.0,128.0,167.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,784.0,45.0,427.0,1213.0,53.0,507.4,4.5,124.2
2017,강북구,329310.0,100.0,150.0,2.0,33.0,0.0,18.0,0.0,70.0,1.0,178.0,2.0,26.0,33.0,0.0,93.0,0.0,105.0,13.0,992.0,65.0,108.0,26.0,1299.0,82.0,140.0,177.0,75.0,710.0,19.0,78.0,951.0,26.0,431.0,732.0,39.0,459.0,1074.0,43.0,477.7,2.7,120.5
2018,강북구,325191.0,101.0,167.0,3.0,25.0,0.0,19.0,0.0,54.0,0.0,142.0,6.0,26.0,44.0,1.0,82.0,1.0,83.0,11.0,963.0,73.0,166.0,15.0,1290.0,108.0,230.0,184.0,82.0,746.0,16.0,95.0,1013.0,21.0,396.0,778.0,42.0,417.0,1184.0,45.0,505.7,4.0,122.6
2019,강북구,319024.0,106.0,193.0,0.0,32.0,0.0,11.0,0.0,30.0,0.0,144.0,2.0,20.0,27.0,0.0,107.0,2.0,113.0,1.0,1034.0,80.0,162.0,1.0,1371.0,111.0,230.0,152.0,93.0,752.0,26.0,118.0,1065.0,34.0,398.0,827.0,52.0,418.0,1242.0,53.0,537.0,2.2,130.0
2020,강북구,314316.0,90.0,178.0,1.0,10.0,0.0,10.0,0.0,19.0,0.0,82.0,1.0,20.0,27.0,0.0,74.0,0.0,79.0,3.0,938.0,88.0,53.0,3.0,1239.0,113.0,63.0,170.0,66.0,622.0,19.0,82.0,835.0,29.0,272.0,776.0,39.0,291.0,1087.0,45.0,455.8,1.0,110.9
2021,강북구,305112.0,84.0,143.0,2.0,19.0,0.0,5.0,0.0,22.0,0.0,74.0,3.0,18.0,22.0,0.0,91.0,0.0,95.0,5.0,934.0,51.0,26.0,5.0,1196.0,65.0,40.0,133.0,72.0,555.0,17.0,91.0,728.0,22.0,259.0,730.0,28.0,274.0,1001.0,33.0,430.3,2.0,109.4
2022,강북구,299348.0,87.0,168.0,2.0,23.0,1.0,15.0,0.0,26.0,0.0,91.0,3.0,19.0,28.0,0.0,86.0,0.0,87.0,3.0,936.0,72.0,22.0,3.0,1136.0,90.0,30.0,137.0,92.0,608.0,27.0,106.0,758.0,31.0,321.0,676.0,47.0,334.0,888.0,50.0,425.3,2.0,112.0
2023,강북구,295122.0,81.0,116.0,2.0,23.0,0.0,16.0,1.0,66.0,0.0,75.0,1.0,12.0,25.0,0.0,67.0,0.0,70.0,3.0,869.0,67.0,32.0,3.0,1091.0,89.0,38.0,189.0,88.0,564.0,21.0,104.0,721.0,25.0,286.0,645.0,41.0,300.0,880.0,42.0,415.4,1.7,105.0
2024,강북구,290169.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
