연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2021,성동구,295250,88,119.0,3.0,22.0,0.0,18.0,0.0,14.0,0.0,71.0,2.0,18.0,21.0,0.0,169.0,0.0,188.0,847129.0
2022,성동구,289862,79,68.0,2.0,16.0,0.0,19.0,0.0,28.0,0.0,82.0,1.0,19.0,35.0,0.0,144.0,1.0,153.0,97791242.0
2023,성동구,286028,76,90.0,2.0,23.0,0.0,15.0,0.0,24.0,0.0,73.0,1.0,8.0,16.0,0.0,94.0,1.0,106.0,104509364.0
2024,성동구,282946,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110387801.0
2025,성동구,281062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28027197.0
2005,성북구,0,129,143.0,1.0,19.0,0.0,28.0,0.0,35.0,2.0,227.0,8.0,45.0,71.0,2.0,56.0,2.0,56.0,0.0
2006,성북구,0,130,44.0,2.0,59.0,1.0,43.0,0.0,47.0,1.0,254.0,11.0,61.0,88.0,2.0,41.0,0.0,41.0,0.0
2007,성북구,0,115,87.0,0.0,39.0,1.0,29.0,0.0,47.0,0.0,232.0,5.0,60.0,95.0,0.0,57.0,1.0,59.0,0.0
2008,성북구,480359,148,69.0,3.0,44.0,0.0,39.0,0.0,55.0,3.0,275.0,7.0,56.0,87.0,2.0,82.0,0.0,86.0,0.0
2009,성북구,484018,158,161.0,0.0,33.0,0.0,48.0,0.0,64.0,2.0,222.0,6.0,68.0,96.0,0.0,111.0,1.0,117.0,0.0
2010,성북구,488157,134,186.0,1.0,31.0,0.0,35.0,0.0,73.0,1.0,194.0,6.0,42.0,85.0,0.0,98.0,0.0,100.0,0.0
2011,성북구,496747,130,172.0,4.0,33.0,0.0,39.0,0.0,30.0,0.0,214.0,10.0,48.0,77.0,2.0,90.0,0.0,97.0,0.0
2012,성북구,492453,131,156.0,1.0,25.0,0.0,21.0,0.0,27.0,1.0,259.0,6.0,39.0,73.0,0.0,112.0,1.0,117.0,0.0
2013,성북구,488456,128,116.0,0.0,29.0,1.0,23.0,1.0,37.0,2.0,257.0,4.0,43.0,59.0,1.0,83.0,0.0,87.0,0.0
2014,성북구,480663,138,143.0,4.0,31.0,0.0,29.0,1.0,46.0,1.0,242.0,3.0,29.0,37.0,0.0,122.0,1.0,131.0,0.0
2015,성북구,472852,140,109.0,1.0,58.0,1.0,22.0,0.0,45.0,2.0,279.0,5.0,35.0,47.0,0.0,125.0,2.0,131.0,0.0
2016,성북구,465490,134,101.0,2.0,52.0,0.0,12.0,0.0,64.0,0.0,277.0,4.0,25.0,40.0,0.0,96.0,0.0,96.0,0.0
2017,성북구,458551,129,85.0,3.0,31.0,0.0,25.0,0.0,43.0,1.0,227.0,7.0,29.0,45.0,1.0,105.0,1.0,109.0,0.0
2018,성북구,450748,118,108.0,2.0,19.0,0.0,23.0,0.0,42.0,2.0,208.0,5.0,29.0,54.0,1.0,75.0,0.0,75.0,0.0
2019,성북구,452792,125,121.0,1.0,12.0,0.0,20.0,0.0,53.0,1.0,209.0,2.0,15.0,21.0,0.0,95.0,1.0,97.0,0.0
2020,성북구,450937,106,120.0,2.0,13.0,0.0,22.0,0.0,37.0,0.0,112.0,8.0,15.0,21.0,0.0,73.0,0.0,79.0,0.0
2021,성북구,442340,107,133.0,0.0,8.0,0.0,26.0,1.0,33.0,0.0,99.0,3.0,26.0,29.0,0.0,87.0,2.0,92.0,991119.0
2022,성북구,442770,107,128.0,2.0,11.0,0.0,25.0,0.0,40.0,1.0,108.0,2.0,17.0,26.0,0.0,78.0,0.0,78.0,119138898.0
2023,성북구,440294,104,160.0,2.0,12.0,0.0,22.0,1.0,22.0,1.0,92.0,1.0,13.0,18.0,0.0,59.0,1.0,67.0,125105605.0
2024,성북구,436024,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128552662.0
2025,성북구,433569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31942792.0
2005,송파구,0,209,232.0,2.0,30.0,0.0,38.0,0.0,104.0,0.0,204.0,10.0,115.0,159.0,2.0,131.0,0.0,136.0,0.0
2006,송파구,0,207,198.0,4.0,46.0,0.0,48.0,0.0,79.0,1.0,202.0,7.0,80.0,118.0,2.0,131.0,2.0,132.0,0.0
2007,송파구,0,207,101.0,1.0,78.0,0.0,52.0,0.0,142.0,1.0,213.0,1.0,67.0,91.0,1.0,195.0,3.0,198.0,0.0
2008,송파구,650910,218,146.0,1.0,71.0,0.0,59.0,1.0,154.0,1.0,236.0,8.0,76.0,130.0,0.0,217.0,6.0,221.0,0.0
2009,송파구,689526,228,214.0,2.0,69.0,1.0,54.0,1.0,117.0,1.0,226.0,5.0,83.0,137.0,0.0,275.0,1.0,287.0,0.0
2010,송파구,689915,214,236.0,3.0,48.0,0.0,34.0,0.0,99.0,0.0,221.0,2.0,85.0,140.0,0.0,273.0,3.0,288.0,0.0
2011,송파구,691986,212,292.0,7.0,40.0,0.0,33.0,1.0,71.0,3.0,169.0,9.0,74.0,106.0,3.0,289.0,1.0,297.0,0.0
2012,송파구,686513,237,367.0,2.0,38.0,0.0,33.0,0.0,49.0,0.0,181.0,4.0,119.0,186.0,0.0,363.0,3.0,377.0,0.0
2013,송파구,674845,206,323.0,2.0,24.0,0.0,21.0,1.0,51.0,1.0,165.0,5.0,81.0,115.0,1.0,414.0,4.0,452.0,0.0
2014,송파구,675796,217,321.0,3.0,51.0,0.0,45.0,0.0,59.0,2.0,155.0,3.0,58.0,93.0,1.0,470.0,5.0,500.0,0.0
2015,송파구,670581,223,192.0,1.0,81.0,0.0,47.0,0.0,79.0,1.0,224.0,7.0,41.0,83.0,0.0,476.0,1.0,535.0,0.0
2016,송파구,663467,216,160.0,3.0,63.0,0.0,31.0,0.0,40.0,0.0,346.0,5.0,47.0,65.0,1.0,417.0,0.0,468.0,0.0
2017,송파구,668730,229,234.0,5.0,62.0,0.0,29.0,0.0,25.0,0.0,287.0,9.0,34.0,60.0,3.0,401.0,2.0,444.0,0.0
2018,송파구,673061,238,269.0,7.0,47.0,2.0,27.0,0.0,66.0,1.0,253.0,5.0,36.0,53.0,1.0,343.0,1.0,372.0,0.0
2019,송파구,684655,241,276.0,2.0,26.0,0.0,34.0,0.0,65.0,2.0,208.0,1.0,30.0,47.0,0.0,434.0,0.0,486.0,0.0
2020,송파구,677387,216,226.0,2.0,38.0,0.0,42.0,0.0,46.0,0.0,67.0,1.0,30.0,47.0,0.0,418.0,2.0,475.0,0.0
2021,송파구,665104,217,217.0,1.0,37.0,1.0,53.0,0.0,50.0,0.0,132.0,1.0,37.0,57.0,0.0,389.0,5.0,425.0,1449615.0
2022,송파구,666815,215,217.0,1.0,30.0,0.0,61.0,0.0,58.0,0.0,168.0,2.0,29.0,41.0,0.0,364.0,1.0,408.0,171041919.0
2023,송파구,662029,217,226.0,4.0,46.0,0.0,62.0,0.0,81.0,0.0,129.0,2.0,34.0,53.0,1.0,359.0,1.0,407.0,183549122.0
2024,송파구,658182,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192214150.0
2025,송파구,654127,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48841839.0
2005,양천구,0,108,123.0,2.0,13.0,0.0,26.0,0.0,50.0,1.0,131.0,1.0,112.0,154.0,0.0,81.0,2.0,81.0,0.0
2006,양천구,0,106,10.0,1.0,30.0,0.0,29.0,1.0,57.0,3.0,166.0,4.0,78.0,110.0,0.0,84.0,1.0,87.0,0.0
2007,양천구,0,98,35.0,0.0,37.0,1.0,26.0,1.0,54.0,2.0,192.0,4.0,56.0,93.0,2.0,67.0,0.0,70.0,0.0
2008,양천구,508119,127,59.0,1.0,50.0,1.0,56.0,1.0,68.0,0.0,207.0,8.0,54.0,94.0,0.0,141.0,3.0,156.0,0.0
2009,양천구,507901,144,121.0,0.0,37.0,0.0,32.0,0.0,39.0,3.0,172.0,2.0,45.0,77.0,0.0,181.0,2.0,188.0,0.0
2010,양천구,503734,121,115.0,3.0,24.0,0.0,39.0,1.0,34.0,0.0,149.0,2.0,36.0,62.0,1.0,155.0,0.0,163.0,0.0
2011,양천구,504636,120,118.0,0.0,26.0,1.0,29.0,1.0,44.0,0.0,152.0,3.0,32.0,44.0,1.0,180.0,1.0,192.0,0.0
2012,양천구,502462,118,145.0,0.0,24.0,0.0,20.0,0.0,38.0,2.0,173.0,6.0,38.0,65.0,0.0,167.0,2.0,169.0,0.0
2013,양천구,498458,111,186.0,2.0,17.0,0.0,27.0,0.0,36.0,0.0,138.0,2.0,22.0,38.0,1.0,174.0,5.0,178.0,0.0
2014,양천구,493228,122,223.0,0.0,6.0,0.0,30.0,0.0,12.0,1.0,139.0,6.0,27.0,58.0,0.0,232.0,2.0,239.0,0.0
2015,양천구,489954,133,209.0,1.0,31.0,0.0,28.0,0.0,25.0,0.0,190.0,4.0,43.0,59.0,0.0,195.0,3.0,201.0,0.0
2016,양천구,485244,124,146.0,0.0,46.0,0.0,17.0,0.0,52.0,2.0,152.0,4.0,27.0,42.0,0.0,199.0,3.0,212.0,0.0
2017,양천구,477435,111,135.0,4.0,18.0,0.0,11.0,0.0,63.0,2.0,151.0,2.0,11.0,24.0,0.0,146.0,1.0,148.0,0.0
2018,양천구,470550,119,183.0,1.0,19.0,0.0,14.0,0.0,26.0,1.0,141.0,3.0,16.0,26.0,1.0,121.0,0.0,132.0,0.0
2019,양천구,464483,125,198.0,2.0,20.0,0.0,24.0,0.0,13.0,2.0,131.0,3.0,20.0,38.0,0.0,145.0,1.0,146.0,0.0
2020,양천구,460098,112,147.0,0.0,7.0,0.0,15.0,1.0,18.0,0.0,103.0,3.0,20.0,38.0,0.0,144.0,1.0,169.0,0.0
2021,양천구,453262,108,142.0,3.0,9.0,0.0,32.0,0.0,20.0,0.0,93.0,4.0,19.0,22.0,1.0,127.0,3.0,131.0,735244.0
2022,양천구,446599,97,150.0,3.0,8.0,0.0,14.0,0.0,12.0,1.0,75.0,3.0,29.0,45.0,0.0,111.0,1.0,115.0,82849173.0
2023,양천구,440926,101,128.0,2.0,12.0,0.0,28.0,0.0,30.0,0.0,93.0,0.0,30.0,45.0,1.0,118.0,1.0,131.0,86210895.0
2024,양천구,436146,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89322974.0
2025,양천구,432901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22757157.0
2005,영등포구,0,182,144.0,4.0,24.0,0.0,24.0,2.0,58.0,2.0,227.0,12.0,70.0,107.0,1.0,98.0,0.0,102.0,0.0
2006,영등포구,0,180,78.0,2.0,25.0,2.0,44.0,2.0,88.0,1.0,239.0,9.0,108.0,163.0,1.0,119.0,4.0,120.0,0.0
2007,영등포구,0,183,96.0,2.0,31.0,0.0,33.0,1.0,71.0,4.0,256.0,16.0,94.0,159.0,2.0,116.0,2.0,127.0,0.0
2008,영등포구,443634,184,90.0,6.0,42.0,0.0,56.0,0.0,94.0,3.0,206.0,11.0,62.0,101.0,2.0,193.0,1.0,201.0,0.0
2009,영등포구,443922,194,165.0,3.0,33.0,0.0,66.0,0.0,81.0,2.0,212.0,10.0,54.0,91.0,0.0,238.0,4.0,263.0,0.0
2010,영등포구,440830,187,145.0,3.0,31.0,1.0,53.0,2.0,78.0,4.0,225.0,7.0,64.0,115.0,0.0,239.0,6.0,250.0,0.0
2011,영등포구,444650,192,227.0,3.0,15.0,3.0,56.0,1.0,78.0,1.0,225.0,8.0,51.0,92.0,1.0,281.0,0.0,305.0,0.0
2012,영등포구,432096,181,216.0,6.0,26.0,0.0,31.0,1.0,69.0,1.0,233.0,11.0,77.0,130.0,1.0,260.0,1.0,280.0,0.0
2013,영등포구,424079,179,229.0,2.0,31.0,0.0,27.0,1.0,48.0,0.0,248.0,15.0,47.0,86.0,0.0,301.0,4.0,321.0,0.0
2014,영등포구,422194,182,211.0,12.0,18.0,0.0,30.0,0.0,36.0,1.0,238.0,8.0,36.0,55.0,0.0,419.0,1.0,484.0,0.0
2015,영등포구,420370,205,176.0,6.0,52.0,0.0,26.0,1.0,61.0,1.0,254.0,12.0,47.0,69.0,1.0,407.0,4.0,457.0,0.0
2016,영등포구,412411,200,146.0,3.0,58.0,0.0,27.0,0.0,43.0,2.0,278.0,4.0,44.0,70.0,0.0,345.0,3.0,382.0,0.0
2017,영등포구,402471,198,169.0,2.0,40.0,1.0,17.0,0.0,89.0,2.0,253.0,8.0,35.0,64.0,1.0,257.0,2.0,278.0,0.0
2018,영등포구,403953,207,217.0,4.0,49.0,0.0,43.0,1.0,52.0,0.0,218.0,7.0,39.0,52.0,1.0,280.0,5.0,297.0,0.0
2019,영등포구,403062,203,230.0,4.0,22.0,0.0,49.0,0.0,52.0,0.0,222.0,2.0,27.0,36.0,0.0,319.0,1.0,374.0,0.0
2020,영등포구,405817,184,187.0,0.0,15.0,0.0,29.0,0.0,16.0,0.0,109.0,1.0,27.0,36.0,0.0,350.0,1.0,400.0,0.0
2021,영등포구,402041,181,154.0,2.0,17.0,1.0,22.0,0.0,25.0,0.0,120.0,6.0,44.0,56.0,1.0,338.0,1.0,383.0,1381393.0
2022,영등포구,399246,166,154.0,2.0,33.0,0.0,38.0,0.0,51.0,1.0,114.0,3.0,32.0,42.0,0.0,310.0,2.0,364.0,160125278.0
2023,영등포구,398482,158,149.0,2.0,27.0,0.0,31.0,0.0,60.0,0.0,127.0,1.0,34.0,46.0,0.0,247.0,1.0,278.0,171180808.0
2024,영등포구,397600,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177232889.0
2025,영등포구,396834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44124653.0
2005,용산구,0,113,75.0,2.0,17.0,0.0,18.0,0.0,43.0,1.0,87.0,4.0,54.0,90.0,0.0,22.0,0.0,22.0,0.0
2006,용산구,0,110,82.0,0.0,13.0,1.0,14.0,0.0,25.0,1.0,108.0,3.0,38.0,58.0,0.0,31.0,0.0,32.0,0.0
2007,용산구,0,107,67.0,1.0,15.0,0.0,24.0,0.0,31.0,3.0,112.0,3.0,53.0,86.0,0.0,18.0,1.0,18.0,0.0
2008,용산구,250159,102,77.0,1.0,25.0,0.0,22.0,1.0,36.0,1.0,113.0,2.0,45.0,76.0,0.0,23.0,1.0,22.0,0.0
2009,용산구,251639,112,76.0,1.0,19.0,0.0,23.0,1.0,49.0,3.0,130.0,3.0,48.0,74.0,1.0,44.0,0.0,48.0,0.0
2010,용산구,252100,103,86.0,3.0,20.0,0.0,18.0,0.0,36.0,0.0,120.0,4.0,65.0,101.0,1.0,33.0,1.0,34.0,0.0
2011,용산구,259159,97,80.0,0.0,41.0,1.0,24.0,0.0,35.0,2.0,106.0,1.0,53.0,85.0,0.0,52.0,0.0,56.0,0.0
2012,용산구,256869,100,86.0,1.0,26.0,1.0,19.0,1.0,45.0,2.0,98.0,1.0,49.0,82.0,0.0,57.0,0.0,59.0,0.0
2013,용산구,253393,115,144.0,1.0,18.0,0.0,11.0,1.0,36.0,0.0,101.0,2.0,63.0,88.0,1.0,89.0,0.0,109.0,0.0
2014,용산구,250604,112,146.0,1.0,27.0,0.0,9.0,0.0,21.0,0.0,95.0,2.0,25.0,37.0,0.0,107.0,0.0,135.0,0.0
2015,용산구,249072,126,158.0,5.0,35.0,0.0,14.0,0.0,29.0,0.0,118.0,4.0,50.0,81.0,0.0,82.0,1.0,88.0,0.0
2016,용산구,246412,119,121.0,1.0,31.0,0.0,7.0,0.0,3.0,0.0,148.0,7.0,34.0,62.0,0.0,91.0,0.0,105.0,0.0
2017,용산구,243993,111,116.0,3.0,13.0,0.0,17.0,0.0,19.0,2.0,135.0,3.0,22.0,31.0,0.0,79.0,0.0,90.0,0.0
2018,용산구,245208,110,137.0,1.0,12.0,0.0,7.0,2.0,25.0,1.0,124.0,4.0,41.0,57.0,1.0,56.0,1.0,69.0,0.0
2019,용산구,245095,98,119.0,1.0,33.0,0.0,5.0,1.0,15.0,1.0,100.0,3.0,33.0,64.0,0.0,53.0,0.0,56.0,0.0
2020,용산구,245281,74,73.0,2.0,5.0,0.0,13.0,0.0,11.0,1.0,56.0,3.0,33.0,64.0,0.0,43.0,0.0,49.0,0.0
2021,용산구,239896,84,91.0,0.0,13.0,0.0,13.0,0.0,10.0,1.0,52.0,1.0,36.0,48.0,0.0,99.0,1.0,114.0,711197.0
2022,용산구,235042,84,119.0,4.0,8.0,0.0,15.0,0.0,15.0,0.0,75.0,3.0,45.0,57.0,1.0,67.0,0.0,72.0,89569077.0
2023,용산구,230587,83,125.0,0.0,8.0,0.0,14.0,0.0,9.0,1.0,62.0,1.0,50.0,80.0,1.0,62.0,1.0,66.0,97412363.0
2024,용산구,219612,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102896730.0
2025,용산구,216537,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26247445.0
2005,은평구,0,114,131.0,2.0,33.0,0.0,21.0,0.0,51.0,1.0,185.0,5.0,61.0,75.0,2.0,62.0,1.0,66.0,0.0
2006,은평구,0,115,115.0,3.0,49.0,2.0,41.0,1.0,51.0,0.0,188.0,1.0,46.0,60.0,1.0,78.0,2.0,78.0,0.0
2007,은평구,0,109,45.0,0.0,79.0,1.0,64.0,0.0,74.0,1.0,170.0,5.0,40.0,66.0,1.0,90.0,0.0,96.0,0.0
2008,은평구,460573,133,23.0,0.0,148.0,4.0,88.0,0.0,73.0,4.0,190.0,6.0,43.0,57.0,0.0,147.0,0.0,157.0,0.0
2009,은평구,469695,144,145.0,2.0,88.0,0.0,55.0,1.0,70.0,2.0,152.0,5.0,57.0,113.0,0.0,192.0,0.0,199.0,0.0
2010,은평구,480844,126,135.0,1.0,99.0,2.0,48.0,1.0,43.0,1.0,183.0,4.0,40.0,59.0,1.0,139.0,0.0,149.0,0.0
2011,은평구,497221,125,110.0,3.0,113.0,1.0,44.0,2.0,39.0,2.0,238.0,9.0,40.0,74.0,1.0,116.0,0.0,117.0,0.0
2012,은평구,505468,126,160.0,0.0,68.0,0.0,60.0,2.0,63.0,1.0,198.0,10.0,22.0,29.0,2.0,151.0,0.0,160.0,0.0
2013,은평구,508204,105,192.0,3.0,47.0,0.0,24.0,0.0,43.0,1.0,172.0,1.0,22.0,38.0,1.0,123.0,0.0,132.0,0.0
2014,은평구,505085,110,178.0,2.0,55.0,0.0,25.0,0.0,33.0,2.0,166.0,2.0,24.0,33.0,0.0,139.0,1.0,147.0,0.0
2015,은평구,503785,100,97.0,0.0,38.0,1.0,30.0,0.0,54.0,1.0,180.0,10.0,26.0,45.0,2.0,147.0,0.0,166.0,0.0
2016,은평구,498885,93,149.0,3.0,14.0,0.0,27.0,0.0,41.0,0.0,176.0,5.0,17.0,26.0,0.0,112.0,3.0,119.0,0.0
2017,은평구,492581,88,166.0,0.0,27.0,0.0,9.0,0.0,57.0,1.0,170.0,6.0,22.0,24.0,1.0,86.0,0.0,89.0,0.0
2018,은평구,488703,94,140.0,3.0,34.0,1.0,22.0,0.0,52.0,1.0,126.0,2.0,21.0,33.0,0.0,106.0,1.0,110.0,0.0
2019,은평구,486925,93,143.0,1.0,30.0,0.0,32.0,0.0,37.0,0.0,129.0,2.0,20.0,27.0,0.0,123.0,1.0,133.0,0.0
2020,은평구,484083,79,112.0,1.0,8.0,0.0,15.0,0.0,26.0,1.0,104.0,1.0,20.0,27.0,0.0,82.0,1.0,86.0,0.0
2021,은평구,478537,72,94.0,0.0,14.0,0.0,39.0,0.0,16.0,0.0,94.0,2.0,29.0,35.0,0.0,100.0,3.0,109.0,954541.0
2022,은평구,474549,76,110.0,1.0,15.0,0.0,17.0,0.0,40.0,1.0,95.0,1.0,40.0,48.0,0.0,104.0,0.0,111.0,110277584.0
2023,은평구,469521,86,131.0,2.0,27.0,0.0,34.0,0.0,42.0,1.0,96.0,3.0,28.0,38.0,0.0,70.0,0.0,77.0,114189970.0
2024,은평구,467830,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119803149.0
2025,은평구,464466,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30702392.0
2005,종로구,0,125,108.0,3.0,7.0,0.0,23.0,0.0,36.0,2.0,129.0,8.0,60.0,88.0,0.0,28.0,0.0,29.0,0.0
2006,종로구,0,113,42.0,1.0,48.0,0.0,22.0,0.0,60.0,1.0,164.0,7.0,62.0,93.0,0.0,20.0,0.0,20.0,0.0
2007,종로구,0,132,58.0,1.0,46.0,0.0,34.0,0.0,74.0,2.0,185.0,5.0,34.0,68.0,2.0,36.0,1.0,38.0,0.0
2008,종로구,178458,130,40.0,1.0,56.0,1.0,34.0,1.0,73.0,1.0,200.0,12.0,46.0,86.0,2.0,41.0,0.0,42.0,0.0
2009,종로구,178531,131,128.0,4.0,31.0,0.0,27.0,0.0,63.0,2.0,132.0,4.0,39.0,63.0,3.0,42.0,0.0,43.0,0.0
2010,종로구,176894,119,123.0,2.0,24.0,2.0,23.0,0.0,53.0,0.0,161.0,9.0,31.0,54.0,2.0,39.0,1.0,39.0,0.0
2011,종로구,178451,118,193.0,3.0,25.0,0.0,12.0,1.0,20.0,1.0,171.0,8.0,28.0,44.0,2.0,57.0,0.0,57.0,0.0
2012,종로구,175048,114,168.0,1.0,20.0,0.0,29.0,1.0,33.0,1.0,162.0,6.0,36.0,57.0,0.0,53.0,0.0,55.0,0.0
2013,종로구,169196,106,126.0,3.0,25.0,0.0,17.0,2.0,49.0,2.0,147.0,4.0,25.0,36.0,0.0,45.0,0.0,45.0,0.0
2014,종로구,166389,109,139.0,1.0,28.0,0.0,23.0,1.0,33.0,0.0,168.0,5.0,25.0,38.0,1.0,54.0,2.0,58.0,0.0
2015,종로구,164463,117,112.0,2.0,55.0,1.0,31.0,1.0,56.0,2.0,152.0,1.0,34.0,44.0,0.0,59.0,0.0,62.0,0.0
2016,종로구,163026,108,119.0,2.0,47.0,0.0,26.0,0.0,64.0,3.0,141.0,2.0,30.0,41.0,0.0,51.0,0.0,54.0,0.0
2017,종로구,163809,99,101.0,3.0,21.0,0.0,24.0,0.0,56.0,3.0,137.0,2.0,23.0,38.0,0.0,58.0,1.0,63.0,0.0
2018,종로구,163507,94,78.0,0.0,34.0,0.0,30.0,0.0,71.0,3.0,128.0,1.0,17.0,28.0,0.0,40.0,0.0,41.0,0.0
2019,종로구,162513,94,112.0,1.0,24.0,0.0,21.0,0.0,61.0,1.0,101.0,1.0,20.0,27.0,1.0,41.0,1.0,41.0,0.0
2020,종로구,160335,75,99.0,1.0,16.0,0.0,18.0,1.0,30.0,0.0,71.0,0.0,20.0,27.0,1.0,43.0,1.0,46.0,0.0
2021,종로구,154945,64,70.0,1.0,6.0,0.0,17.0,0.0,23.0,0.0,63.0,3.0,20.0,24.0,1.0,46.0,0.0,47.0,1301849.0
2022,종로구,152787,81,114.0,0.0,26.0,0.0,35.0,0.0,36.0,0.0,78.0,1.0,23.0,28.0,0.0,46.0,1.0,50.0,163685389.0
2023,종로구,151285,82,88.0,3.0,14.0,0.0,22.0,0.0,47.0,0.0,94.0,3.0,26.0,33.0,0.0,39.0,0.0,42.0,176420440.0
2024,종로구,150093,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175950697.0
2025,종로구,149478,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43501139.0
2005,중구,0,111,125.0,1.0,26.0,0.0,36.0,1.0,38.0,0.0,118.0,5.0,45.0,74.0,0.0,19.0,0.0,19.0,0.0
2006,중구,0,115,40.0,0.0,52.0,1.0,43.0,0.0,71.0,2.0,135.0,9.0,30.0,41.0,0.0,12.0,0.0,12.0,0.0
2007,중구,0,117,63.0,1.0,40.0,0.0,35.0,0.0,64.0,3.0,131.0,5.0,44.0,63.0,1.0,18.0,0.0,19.0,0.0
2008,중구,138854,119,50.0,2.0,53.0,0.0,42.0,0.0,91.0,0.0,130.0,5.0,38.0,49.0,1.0,23.0,1.0,23.0,0.0
2009,중구,138368,128,102.0,1.0,53.0,0.0,34.0,0.0,70.0,2.0,140.0,7.0,24.0,36.0,0.0,34.0,0.0,34.0,0.0
2010,중구,138612,128,121.0,1.0,29.0,0.0,41.0,0.0,59.0,0.0,121.0,1.0,23.0,32.0,0.0,43.0,1.0,43.0,0.0
2011,중구,141183,124,188.0,8.0,34.0,0.0,47.0,0.0,43.0,1.0,110.0,2.0,32.0,43.0,4.0,44.0,0.0,47.0,0.0
2012,중구,142895,121,182.0,2.0,25.0,0.0,28.0,0.0,29.0,1.0,128.0,5.0,32.0,49.0,0.0,30.0,0.0,31.0,0.0
2013,중구,139138,120,196.0,3.0,20.0,0.0,10.0,1.0,26.0,0.0,154.0,4.0,26.0,40.0,0.0,26.0,0.0,27.0,0.0
2014,중구,136897,108,206.0,1.0,14.0,0.0,18.0,0.0,30.0,0.0,106.0,0.0,16.0,26.0,0.0,32.0,1.0,32.0,0.0
2015,중구,135105,111,117.0,3.0,36.0,0.0,25.0,0.0,56.0,1.0,156.0,4.0,27.0,30.0,0.0,39.0,0.0,40.0,0.0
2016,중구,134370,107,132.0,3.0,25.0,0.0,17.0,0.0,41.0,0.0,142.0,9.0,6.0,11.0,0.0,26.0,0.0,27.0,0.0
2017,중구,133711,104,120.0,0.0,21.0,0.0,23.0,1.0,41.0,0.0,120.0,0.0,14.0,15.0,0.0,27.0,1.0,29.0,0.0
2018,중구,135364,94,74.0,1.0,23.0,0.0,24.0,1.0,59.0,1.0,117.0,1.0,13.0,17.0,0.0,27.0,1.0,26.0,0.0
2019,중구,136315,98,111.0,1.0,12.0,0.0,20.0,0.0,42.0,0.0,108.0,3.0,16.0,25.0,0.0,40.0,0.0,42.0,0.0
2020,중구,135613,79,110.0,0.0,7.0,0.0,17.0,0.0,26.0,1.0,94.0,0.0,16.0,25.0,0.0,37.0,0.0,38.0,0.0
2021,중구,132424,71,69.0,0.0,14.0,0.0,14.0,0.0,18.0,0.0,58.0,2.0,29.0,38.0,0.0,36.0,0.0,38.0,1383709.0
2022,중구,131168,78,115.0,1.0,8.0,0.0,24.0,0.0,18.0,1.0,63.0,0.0,40.0,45.0,0.0,44.0,0.0,48.0,165400026.0
2023,중구,131765,77,101.0,0.0,7.0,0.0,14.0,0.0,23.0,1.0,73.0,2.0,23.0,26.0,0.0,43.0,0.0,45.0,191695215.0
