연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2015,강북구,336314,105,197.0,4.0,15.0,1.0,21.0,0.0,24.0,1.0,183.0,5.0,18.0,30.0,0.0,134.0,2.0,140.0,0.0
2016,강북구,332293,102,175.0,2.0,28.0,0.0,15.0,0.0,15.0,0.0,188.0,6.0,25.0,52.0,0.0,103.0,1.0,110.0,0.0
2017,강북구,329310,100,150.0,2.0,33.0,0.0,18.0,0.0,70.0,1.0,178.0,2.0,26.0,33.0,0.0,93.0,0.0,105.0,0.0
2018,강북구,325191,101,167.0,3.0,25.0,0.0,19.0,0.0,54.0,0.0,142.0,6.0,26.0,44.0,1.0,82.0,1.0,83.0,0.0
2019,강북구,319024,106,193.0,0.0,32.0,0.0,11.0,0.0,30.0,0.0,144.0,2.0,20.0,27.0,0.0,107.0,2.0,113.0,0.0
2020,강북구,314316,90,178.0,1.0,10.0,0.0,10.0,0.0,19.0,0.0,82.0,1.0,20.0,27.0,0.0,74.0,0.0,79.0,0.0
2021,강북구,305112,84,143.0,2.0,19.0,0.0,5.0,0.0,22.0,0.0,74.0,3.0,18.0,22.0,0.0,91.0,0.0,95.0,765888.0
2022,강북구,299348,87,168.0,2.0,23.0,1.0,15.0,0.0,26.0,0.0,91.0,3.0,19.0,28.0,0.0,86.0,0.0,87.0,88190101.0
2023,강북구,295122,81,116.0,2.0,23.0,0.0,16.0,1.0,66.0,0.0,75.0,1.0,12.0,25.0,0.0,67.0,0.0,70.0,90501403.0
2024,강북구,290169,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93017744.0
2025,강북구,288797,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23605036.0
2005,강서구,0,149,201.0,0.0,34.0,0.0,30.0,1.0,48.0,0.0,180.0,7.0,133.0,195.0,1.0,77.0,0.0,84.0,0.0
2006,강서구,0,140,162.0,4.0,37.0,0.0,36.0,2.0,44.0,0.0,166.0,6.0,97.0,142.0,1.0,92.0,2.0,96.0,0.0
2007,강서구,0,147,160.0,2.0,24.0,0.0,44.0,1.0,64.0,1.0,206.0,7.0,92.0,138.0,1.0,104.0,3.0,106.0,0.0
2008,강서구,580174,171,178.0,2.0,55.0,1.0,52.0,1.0,80.0,3.0,205.0,1.0,69.0,103.0,2.0,184.0,5.0,189.0,0.0
2009,강서구,582608,166,213.0,2.0,32.0,1.0,41.0,1.0,75.0,2.0,207.0,1.0,64.0,108.0,1.0,147.0,2.0,150.0,0.0
2010,강서구,578182,156,270.0,5.0,14.0,1.0,25.0,0.0,50.0,0.0,214.0,6.0,51.0,81.0,2.0,139.0,1.0,143.0,0.0
2011,강서구,577986,157,320.0,1.0,19.0,0.0,27.0,1.0,47.0,0.0,164.0,3.0,74.0,124.0,1.0,142.0,2.0,153.0,0.0
2012,강서구,574692,147,345.0,7.0,15.0,0.0,15.0,1.0,30.0,1.0,108.0,5.0,61.0,104.0,2.0,162.0,1.0,169.0,0.0
2013,강서구,574508,142,322.0,7.0,19.0,0.0,17.0,0.0,18.0,1.0,143.0,7.0,55.0,96.0,2.0,178.0,1.0,186.0,0.0
2014,강서구,582906,150,311.0,7.0,21.0,0.0,18.0,1.0,23.0,1.0,142.0,5.0,37.0,53.0,1.0,226.0,4.0,233.0,0.0
2015,강서구,595215,161,253.0,2.0,28.0,0.0,19.0,1.0,95.0,1.0,152.0,3.0,43.0,65.0,1.0,245.0,1.0,267.0,0.0
