자치구,년월,버스승객수,발생건수,사망자수,부상자수
관악구,'2017.06,0,103,0,141
관악구,'2017.07,0,116,0,149
관악구,'2017.08,0,121,0,163
관악구,'2017.09,0,106,1,130
관악구,'2017.10,0,93,0,133
관악구,'2017.11,0,115,1,144
관악구,'2017.12,0,76,3,101
관악구,'2018.01,0,102,1,130
관악구,'2018.02,0,108,0,138
관악구,'2018.03,0,107,2,139
관악구,'2018.04,0,113,0,148
관악구,'2018.05,0,119,0,155
관악구,'2018.06,0,100,0,126
관악구,'2018.07,0,107,0,148
관악구,'2018.08,0,115,3,161
관악구,'2018.09,0,103,1,144
관악구,'2018.10,0,106,0,149
관악구,'2018.11,0,115,0,144
관악구,'2018.12,0,105,1,135
관악구,'2019.01,0,104,0,148
관악구,'2019.02,0,94,0,116
관악구,'2019.03,0,101,2,131
관악구,'2019.04,0,129,1,163
관악구,'2019.05,0,115,0,144
관악구,'2019.06,0,121,0,154
관악구,'2019.07,0,132,0,166
관악구,'2019.08,0,128,0,166
관악구,'2019.09,0,114,1,149
관악구,'2019.10,0,114,1,144
관악구,'2019.11,0,117,1,141
관악구,'2019.12,0,94,4,133
관악구,'2020.01,0,91,0,129
관악구,'2020.02,0,114,2,158
관악구,'2020.03,0,121,1,145
관악구,'2020.04,0,112,1,137
관악구,'2020.05,0,111,0,145
관악구,'2020.06,0,119,1,148
관악구,'2020.07,0,137,1,173
관악구,'2020.08,0,145,1,172
관악구,'2020.09,0,117,1,156
관악구,'2020.10,0,133,1,160
관악구,'2020.11,0,121,2,144
관악구,'2020.12,0,123,2,152
관악구,'2021.01,0,117,0,171
관악구,'2021.02,0,97,1,112
관악구,'2021.03,0,129,0,170
관악구,'2021.04,0,123,2,169
관악구,'2021.05,0,138,0,174
관악구,'2021.06,0,137,0,177
관악구,'2021.07,0,112,0,142
관악구,'2021.08,0,115,2,139
관악구,'2021.09,0,119,1,158
관악구,'2021.10,0,112,0,140
관악구,'2021.11,0,115,0,146
관악구,'2021.12,0,105,2,131
관악구,'2022.01,6949650,104,0,143
관악구,'2022.02,6136952,89,1,110
관악구,'2022.03,7043064,79,0,97
관악구,'2022.04,7729947,109,0,153
관악구,'2022.05,8274550,122,1,151
관악구,'2022.06,7534735,91,1,114
관악구,'2022.07,7929447,107,1,146
관악구,'2022.08,7808989,71,1,81
관악구,'2022.09,7461377,99,1,124
관악구,'2022.10,7908853,93,0,129
관악구,'2022.11,7690174,104,1,141
관악구,'2022.12,7623588,104,2,146
관악구,'2023.01,6849456,71,1,87
관악구,'2023.02,6716465,75,2,96
관악구,'2023.03,7949626,86,1,105
관악구,'2023.04,7548227,83,1,118
관악구,'2023.05,7768127,93,0,121
관악구,'2023.06,7597105,100,1,126
관악구,'2023.07,7623999,73,1,96
관악구,'2023.08,7452913,100,1,123
관악구,'2023.09,7369813,84,0,106
관악구,'2023.10,7448827,73,2,87
관악구,'2023.11,7532400,76,0,95
관악구,'2023.12,7425505,66,0,92
관악구,'2024.01,7079754,105,1,129
관악구,'2024.02,6555900,103,1,133
관악구,'2024.03,7722147,122,1,141
관악구,'2024.04,7723114,106,2,143
관악구,'2024.05,7911036,104,2,135
관악구,'2024.06,7533418,115,1,147
관악구,'2024.07,7859398,99,1,113
관악구,'2024.08,8021835,107,1,121
관악구,'2024.09,7837199,87,0,121
관악구,'2024.10,8354507,107,0,131
관악구,'2024.11,8217772,97,2,121
관악구,'2024.12,8180536,102,1,146
관악구,'2025.01,6707247,0,0,0
관악구,'2025.02,7176565,0,0,0
관악구,'2025.03,8289609,0,0,0
관악구,'2025.04,1559792,0,0,0
광진구,'2017.01,0,73,3,105
광진구,'2017.02,0,78,1,101
광진구,'2017.03,0,89,1,112
광진구,'2017.04,0,83,3,106
광진구,'2017.05,0,101,2,125
광진구,'2017.06,0,101,2,137
광진구,'2017.07,0,80,0,95
광진구,'2017.08,0,86,1,129
광진구,'2017.09,0,87,0,110
광진구,'2017.10,0,99,2,133
광진구,'2017.11,0,89,0,127
광진구,'2017.12,0,98,1,161
광진구,'2018.01,0,90,1,119
광진구,'2018.02,0,84,0,111
광진구,'2018.03,0,73,1,101
광진구,'2018.04,0,100,0,126
광진구,'2018.05,0,101,0,134
광진구,'2018.06,0,109,0,140
광진구,'2018.07,0,95,3,130
광진구,'2018.08,0,101,1,136
광진구,'2018.09,0,82,0,107
광진구,'2018.10,0,92,0,135
광진구,'2018.11,0,111,1,148
광진구,'2018.12,0,70,3,87
광진구,'2019.01,0,47,0,70
광진구,'2019.02,0,62,0,92
광진구,'2019.03,0,82,1,99
광진구,'2019.04,0,109,0,142
광진구,'2019.05,0,100,1,128
광진구,'2019.06,0,83,0,111
광진구,'2019.07,0,72,1,102
광진구,'2019.08,0,90,0,138
광진구,'2019.09,0,93,0,125
광진구,'2019.10,0,92,0,121
광진구,'2019.11,0,77,0,98
광진구,'2019.12,0,66,0,90
광진구,'2020.01,0,66,0,97
광진구,'2020.02,0,55,0,69
광진구,'2020.03,0,68,0,77
광진구,'2020.04,0,72,1,93
광진구,'2020.05,0,95,0,126
광진구,'2020.06,0,96,1,139
광진구,'2020.07,0,72,0,107
광진구,'2020.08,0,71,1,90
광진구,'2020.09,0,54,0,68
광진구,'2020.10,0,81,0,98
광진구,'2020.11,0,78,1,98
