구,연도,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,거주인구,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
강북구,2016,3.0,1014.0,84.0,121.0,3.0,1390.0,128.0,167.0,144.0,3987516.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,784.0,45.0,427.0,1213.0,53.0,507.4,4.5,124.2
강북구,2017,13.0,992.0,65.0,108.0,26.0,1299.0,82.0,140.0,177.0,3951720.0,75.0,710.0,19.0,78.0,951.0,26.0,431.0,732.0,39.0,459.0,1074.0,43.0,477.7,2.7,120.5
강북구,2018,11.0,963.0,73.0,166.0,15.0,1290.0,108.0,230.0,184.0,3902295.0,82.0,746.0,16.0,95.0,1013.0,21.0,396.0,778.0,42.0,417.0,1184.0,45.0,505.7,4.0,122.6
강북구,2019,1.0,1034.0,80.0,162.0,1.0,1371.0,111.0,230.0,152.0,3828294.0,93.0,752.0,26.0,118.0,1065.0,34.0,398.0,827.0,52.0,418.0,1242.0,53.0,537.0,2.2,130.0
강북구,2020,3.0,938.0,88.0,53.0,3.0,1239.0,113.0,63.0,170.0,3771792.0,66.0,622.0,19.0,82.0,835.0,29.0,272.0,776.0,39.0,291.0,1087.0,45.0,455.8,1.0,110.9
강북구,2021,5.0,934.0,51.0,26.0,5.0,1196.0,65.0,40.0,133.0,3661350.0,72.0,555.0,17.0,91.0,728.0,22.0,259.0,730.0,28.0,274.0,1001.0,33.0,430.3,2.0,109.4
강북구,2022,3.0,936.0,72.0,22.0,3.0,1136.0,90.0,30.0,137.0,3592182.0,92.0,608.0,27.0,106.0,758.0,31.0,321.0,676.0,47.0,334.0,888.0,50.0,425.3,2.0,112.0
강북구,2023,3.0,869.0,67.0,32.0,3.0,1091.0,89.0,38.0,189.0,3541464.0,88.0,564.0,21.0,104.0,721.0,25.0,286.0,645.0,41.0,300.0,880.0,42.0,415.4,1.7,105.0
강서구,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,1286.0,42.0,493.0,2186.0,65.0,488.9,3.4,104.2
강서구,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,1218.0,56.0,438.0,1952.0,71.0,435.3,4.3,95.2
강서구,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,1251.0,46.0,506.0,1947.0,50.0,438.5,3.4,97.1
강서구,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,6962097.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,1447.0,68.0,573.0,2184.0,76.0,481.7,3.8,109.2
강서구,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,6991296.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,1402.0,57.0,574.0,2238.0,70.0,495.0,2.6,104.3
강서구,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,6938187.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,1255.0,63.0,597.0,1945.0,73.0,446.9,3.6,95.1
강서구,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,6935835.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,1262.0,70.0,575.0,2099.0,82.0,475.8,2.8,96.6
강서구,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,6896310.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,1191.0,81.0,526.0,1980.0,92.0,448.4,4.4,90.9
강서구,2013,15.0,1465.0,117.0,116.0,33.0,2149.0,175.0,184.0,232.0,6894102.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,1118.0,91.0,538.0,1870.0,135.0,437.6,4.5,88.4
강서구,2014,9.0,1599.0,104.0,89.0,14.0,2271.0,181.0,170.0,290.0,6994872.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,1229.0,72.0,531.0,2025.0,90.0,441.8,5.4,88.6
강서구,2015,2.0,1757.0,128.0,43.0,3.0,2530.0,185.0,53.0,262.0,7142583.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,1329.0,72.0,556.0,2134.0,84.0,463.7,2.0,92.2
강서구,2016,4.0,1588.0,62.0,29.0,4.0,2100.0,85.0,45.0,337.0,7192134.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,1139.0,81.0,495.0,1644.0,104.0,370.4,2.2,78.7
강서구,2017,7.0,1442.0,60.0,60.0,11.0,1971.0,87.0,78.0,335.0,7280181.0,96.0,1016.0,29.0,124.0,1462.0,38.0,402.0,1125.0,57.0,423.0,1681.0,63.0,354.3,2.0,71.8
강서구,2018,9.0,1314.0,104.0,70.0,15.0,1913.0,163.0,123.0,359.0,7272063.0,106.0,990.0,24.0,193.0,1482.0,33.0,387.0,1052.0,63.0,418.0,1719.0,82.0,365.8,1.8,67.4
강서구,2019,6.0,1554.0,110.0,120.0,15.0,2133.0,135.0,174.0,308.0,7210887.0,121.0,1155.0,38.0,192.0,1599.0,55.0,469.0,1298.0,62.0,495.0,1933.0,83.0,416.4,3.3,81.9
강서구,2020,2.0,1367.0,112.0,51.0,3.0,1853.0,155.0,65.0,195.0,7093029.0,74.0,965.0,42.0,110.0,1362.0,59.0,346.0,1179.0,50.0,363.0,1726.0,59.0,363.7,2.9,70.2
강서구,2021,8.0,1324.0,92.0,65.0,11.0,1802.0,141.0,87.0,202.0,6980496.0,68.0,885.0,41.0,92.0,1275.0,59.0,340.0,1121.0,40.0,363.0,1645.0,47.0,352.2,2.2,66.8
강서구,2022,3.0,1438.0,84.0,41.0,4.0,1894.0,110.0,57.0,182.0,6922026.0,100.0,965.0,41.0,121.0,1332.0,59.0,386.0,1178.0,42.0,414.0,1660.0,49.0,366.8,2.6,71.1
강서구,2023,3.0,1350.0,95.0,34.0,3.0,1866.0,144.0,51.0,224.0,6854691.0,93.0,981.0,43.0,133.0,1430.0,60.0,330.0,1153.0,35.0,343.0,1743.0,35.0,371.3,1.6,67.7
관악구,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,1149.0,47.0,479.0,1835.0,60.0,437.2,4.7,120.7
관악구,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,1181.0,36.0,480.0,1867.0,41.0,435.2,2.2,119.6
관악구,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,1297.0,45.0,536.0,2017.0,62.0,471.5,3.3,131.0
관악구,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,6641391.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,1337.0,67.0,575.0,2068.0,80.0,491.1,2.4,138.2
관악구,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,6608937.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,1342.0,66.0,610.0,2103.0,79.0,507.6,2.6,140.1
관악구,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,6557832.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1238.0,56.0,590.0,1993.0,65.0,478.8,2.9,131.3
관악구,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,6587319.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,1170.0,64.0,534.0,1804.0,75.0,438.5,3.1,123.3
관악구,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,6525327.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,1131.0,62.0,538.0,1713.0,68.0,425.3,3.7,119.9
관악구,2013,8.0,1489.0,128.0,72.0,12.0,2066.0,236.0,117.0,290.0,6457851.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,1151.0,65.0,561.0,1861.0,80.0,463.8,3.7,122.9
관악구,2014,14.0,1434.0,103.0,56.0,18.0,1955.0,157.0,77.0,250.0,6405711.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,1125.0,76.0,549.0,1699.0,91.0,435.6,4.1,119.5
관악구,2015,11.0,1424.0,107.0,44.0,15.0,1857.0,154.0,73.0,262.0,6375591.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,1057.0,55.0,552.0,1532.0,63.0,403.6,2.3,111.7
관악구,2016,5.0,1216.0,68.0,37.0,5.0,1641.0,105.0,49.0,292.0,6339360.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,932.0,51.0,460.0,1371.0,83.0,360.5,3.6,95.9
관악구,2017,9.0,1150.0,37.0,37.0,11.0,1521.0,57.0,53.0,254.0,6279456.0,67.0,800.0,20.0,86.0,1110.0,24.0,368.0,851.0,32.0,391.0,1243.0,36.0,318.5,2.1,85.3
관악구,2018,5.0,1091.0,91.0,37.0,5.0,1436.0,124.0,63.0,310.0,6257931.0,78.0,877.0,22.0,95.0,1206.0,25.0,354.0,904.0,42.0,377.0,1298.0,50.0,330.2,1.5,89.1
관악구,2019,4.0,1175.0,96.0,34.0,4.0,1514.0,127.0,41.0,275.0,6233388.0,90.0,863.0,26.0,107.0,1136.0,33.0,352.0,964.0,47.0,367.0,1347.0,51.0,339.2,1.9,94.3
