년월,재난사고_사고건수_x,재난사고_사상자수_x,재난사고_사고건수_y,재난사고_사상자수_y,감전사고_사상자수
2016-0601,0.0,0.0,0.0,0.0,8
2016-0701,0.0,0.0,0.0,0.0,6
2016-0801,0.0,0.0,0.0,0.0,3
2016-0901,0.0,0.0,0.0,0.0,3
2016-1001,0.0,0.0,0.0,0.0,3
2016-1101,0.0,0.0,0.0,0.0,3
2016-1201,0.0,0.0,0.0,0.0,1
2017-0101,0.0,0.0,0.0,0.0,12
2017-0201,0.0,0.0,0.0,0.0,7
2017-0301,0.0,0.0,0.0,0.0,16
2017-0401,0.0,0.0,0.0,0.0,11
2017-0501,0.0,0.0,0.0,0.0,8
2017-0601,0.0,0.0,0.0,0.0,7
2017-0701,0.0,0.0,0.0,0.0,7
2017-0801,0.0,0.0,0.0,0.0,14
2017-0901,0.0,0.0,0.0,0.0,10
2017-1001,0.0,0.0,0.0,0.0,6
2017-1101,0.0,0.0,0.0,0.0,11
2017-1201,0.0,0.0,0.0,0.0,5
2018-0101,0.0,0.0,0.0,0.0,7
2018-0201,0.0,0.0,0.0,0.0,3
2018-0301,0.0,0.0,0.0,0.0,3
2018-0401,0.0,0.0,0.0,0.0,7
2018-0501,0.0,0.0,0.0,0.0,4
2018-0601,0.0,0.0,0.0,0.0,7
2018-0701,0.0,0.0,0.0,0.0,8
2018-0801,0.0,0.0,0.0,0.0,16
2018-0901,0.0,0.0,0.0,0.0,14
2018-1001,0.0,0.0,0.0,0.0,14
2018-1101,0.0,0.0,0.0,0.0,6
2018-1201,0.0,0.0,0.0,0.0,5
2019-0101,0.0,0.0,0.0,0.0,4
2019-0201,0.0,0.0,0.0,0.0,5
2019-0301,0.0,0.0,0.0,0.0,5
2019-0401,0.0,0.0,0.0,0.0,3
2019-0501,0.0,0.0,0.0,0.0,6
2019-0601,0.0,0.0,0.0,0.0,9
2019-0701,0.0,0.0,0.0,0.0,5
2019-0801,0.0,0.0,0.0,0.0,11
2019-0901,0.0,0.0,0.0,0.0,13
2019-1001,0.0,0.0,0.0,0.0,8
2019-1101,0.0,0.0,0.0,0.0,8
2019-1201,0.0,0.0,0.0,0.0,9
2020-0101,0.0,0.0,0.0,0.0,4
2020-0301,0.0,0.0,0.0,0.0,4
2020-0401,0.0,0.0,0.0,0.0,5
2020-0501,0.0,0.0,0.0,0.0,3
2020-0601,0.0,0.0,0.0,0.0,7
2020-0701,0.0,0.0,0.0,0.0,10
2020-0801,0.0,0.0,0.0,0.0,4
2020-0901,0.0,0.0,0.0,0.0,9
2020-1001,0.0,0.0,0.0,0.0,3
2020-1101,0.0,0.0,0.0,0.0,4
2020-1201,0.0,0.0,0.0,0.0,4
2021-0101,0.0,0.0,0.0,0.0,2
2021-0201,0.0,0.0,0.0,0.0,3
2021-0301,0.0,0.0,0.0,0.0,5
2021-0401,0.0,0.0,0.0,0.0,2
2021-0501,0.0,0.0,0.0,0.0,1
2021-0601,0.0,0.0,0.0,0.0,6
2021-07,549.0,662.0,0.0,0.0,0
2021-0701,0.0,0.0,549.0,662.0,6
2021-08,2545.0,3160.0,0.0,0.0,0
2021-0801,0.0,0.0,2545.0,3160.0,6
2021-09,2076.0,2728.0,0.0,0.0,0
2021-0901,0.0,0.0,2076.0,2728.0,4
2021-10,2037.0,2561.0,0.0,0.0,0
2021-1001,0.0,0.0,2037.0,2561.0,3
2021-11,2767.0,3447.0,0.0,0.0,0
2021-1101,0.0,0.0,2767.0,3447.0,4
2021-12,2070.0,2552.0,0.0,0.0,0
2021-1201,0.0,0.0,2070.0,2552.0,7
2022-01,2793.0,3561.0,0.0,0.0,0
